																															Class	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine
6	5.546	69.14988	Unknown	[M-H]-	ion correlated with 1458; ion correlated with 7; ion correlated with 138; similar chromatogram in higher mz_4287; similar chromatogram in higher mz_854; similar chromatogram in higher mz_959; similar chromatogram in higher mz_3053; similar chromatogram in higher mz_3749; similar chromatogram in higher mz_2496; similar chromatogram in higher mz_3639; similar chromatogram in higher mz_2264; similar chromatogram in higher mz_1652; similar chromatogram in higher mz_4262; similar chromatogram in higher mz_2317; similar chromatogram in higher mz_2000; similar chromatogram in higher mz_1710; similar chromatogram in higher mz_1431; similar chromatogram in higher mz_3845; similar chromatogram in higher mz_3988; similar chromatogram in higher mz_165; similar chromatogram in higher mz_546; similar chromatogram in higher mz_1723; similar chromatogram in higher mz_1860; similar chromatogram in higher mz_2414; similar chromatogram in higher mz_2423; similar chromatogram in higher mz_3006; similar chromatogram in higher mz_3577	0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	11.4	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.14988:9174 70.15323:0 71.15659:0		1152	1962	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
7	5.6	69.15691	Unknown	[M-H]-	ion correlated with 1682; ion correlated with 301; ion correlated with 6; ion correlated with 3681; ion correlated with 2435; ion correlated with 20; ion correlated with 108; ion correlated with 3807; ion correlated with 138; ion correlated with 147; similar chromatogram in higher mz_2135; similar chromatogram in higher mz_1933; similar chromatogram in higher mz_1582	0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	15.58	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.15691:11539 70.16026:0 71.16362:0		1888	-2	-2	-2	-2	1280	-2	-2	-2	-2	-2	-2	-2
8	5.842	69.15752	Unknown	[M-H]-	similar chromatogram in higher mz_190; similar chromatogram in higher mz_1214; similar chromatogram in higher mz_2005; similar chromatogram in higher mz_1859; similar chromatogram in higher mz_2602; similar chromatogram in higher mz_178; similar chromatogram in higher mz_3362	0.077	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.45	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.15752:1730 70.16087:0 71.16423:0		2409	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
9	6.421	69.1681	Unknown	[M-H]-		0.077	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.75	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.1681:1454 70.17145:0 71.17481:0		2877	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
10	6.02	69.18529	Unknown	[M-H]-		0.077	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.67	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.18529:1410 70.18864:0 71.192:0		2611	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
11	5.508	69.19102	Unknown	[M-H]-	ion correlated with 1075; ion correlated with 1179; ion correlated with 1398; ion correlated with 1496; ion correlated with 1537; ion correlated with 1690; ion correlated with 1862; ion correlated with 2351; ion correlated with 2534; ion correlated with 2593; ion correlated with 2926; ion correlated with 3051; ion correlated with 3483; ion correlated with 1004; ion correlated with 1278; ion correlated with 1581; ion correlated with 1752; ion correlated with 1986; ion correlated with 2210; ion correlated with 2488; ion correlated with 2492; ion correlated with 2801; ion correlated with 3289; ion correlated with 3929; ion correlated with 187; ion correlated with 100; ion correlated with 1330; ion correlated with 1495; ion correlated with 1756; ion correlated with 1884; ion correlated with 1912; ion correlated with 2446; ion correlated with 3910; ion correlated with 4528; ion correlated with 4280; ion correlated with 1001; ion correlated with 1481; ion correlated with 1676; ion correlated with 3775; ion correlated with 3781; ion correlated with 1639; ion correlated with 284; ion correlated with 2037; ion correlated with 2394; ion correlated with 3292; ion correlated with 3696; ion correlated with 3714; ion correlated with 4347; ion correlated with 4478; ion correlated with 4619; ion correlated with 4673; ion correlated with 1168; ion correlated with 1708; ion correlated with 2443; ion correlated with 2681; ion correlated with 2831; ion correlated with 3484; ion correlated with 3877; ion correlated with 4267; ion correlated with 4315; ion correlated with 4530; ion correlated with 4623; ion correlated with 1565; ion correlated with 1003; ion correlated with 2918; ion correlated with 2448; ion correlated with 2628; ion correlated with 2668; ion correlated with 2889; ion correlated with 2906; ion correlated with 3142; ion correlated with 3261; ion correlated with 3664; ion correlated with 3935; ion correlated with 4462; ion correlated with 4601; ion correlated with 4686; ion correlated with 840; ion correlated with 1399; ion correlated with 1741; ion correlated with 3760; ion correlated with 4402; ion correlated with 4641; ion correlated with 191; ion correlated with 2756; ion correlated with 4699; ion correlated with 39; ion correlated with 116; ion correlated with 837; ion correlated with 1450; ion correlated with 1518; ion correlated with 1783; ion correlated with 2224; ion correlated with 4279; ion correlated with 4293; ion correlated with 2297; ion correlated with 952; ion correlated with 1224; ion correlated with 1305; ion correlated with 1474; ion correlated with 1843; ion correlated with 2093; ion correlated with 2405; ion correlated with 2903; ion correlated with 2957; ion correlated with 3249; ion correlated with 3546; ion correlated with 3870; ion correlated with 4272; ion correlated with 4496; ion correlated with 852; ion correlated with 904; ion correlated with 1183; ion correlated with 1276; ion correlated with 1279; ion correlated with 1538; ion correlated with 1980; ion correlated with 2550; ion correlated with 2910; ion correlated with 4131; ion correlated with 214; ion correlated with 1365; ion correlated with 1470; ion correlated with 2511; ion correlated with 2962; ion correlated with 3273; ion correlated with 3555; ion correlated with 1640; ion correlated with 1259; ion correlated with 1391; ion correlated with 2145; ion correlated with 2353; ion correlated with 4016; ion correlated with 4630; similar chromatogram in higher mz_1093	0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.12	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.19102:7956 70.19437:0 71.19773:0		2019	-2	-2	-2	-2	-2	907	-2	-2	-2	-2	-2	-2
12	6.805	69.25556	Unknown	[M-H]-	similar chromatogram in higher mz_3603; similar chromatogram in higher mz_3057; similar chromatogram in higher mz_2410; similar chromatogram in higher mz_2012; similar chromatogram in higher mz_3172; similar chromatogram in higher mz_1948; similar chromatogram in higher mz_2713; similar chromatogram in higher mz_107; similar chromatogram in higher mz_2721; similar chromatogram in higher mz_2017	0.231	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.23	Alanine_NA_10mM_2d1_neg_ms1_140k_3e6	69.25556:8203 70.25891:0 71.26227:0		2120	1632	-2	-2	-2	-2	2074	-2	-2	-2	-2	-2	-2
13	10.335	69.28118	Unknown	[M-H]-		0.077	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.58	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.28118:1500 70.28453:0 71.28789:0		3936	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
14	6.108	69.30203	Unknown	[M-H]-	ion correlated with 1017; ion correlated with 2587; ion correlated with 4690; ion correlated with 2222; ion correlated with 3785; ion correlated with 1724	0.231	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.07	Alanine_NA_10mM_2d1_neg_ms1_140k_3e6	69.30203:8398 70.30538:0 71.30874:0		2431	1165	-2	-2	-2	2176	-2	-2	-2	-2	-2	-2	-2
15	8.611	69.30203	Unknown	[M-H]-		0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.52	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.30203:1513 70.30538:3905 71.30874:0		3621	-2	-2	-2	-2	2284	-2	-2	-2	-2	-2	-2	-2
16	6.506	69.44982	Unknown	[M-H]-	similar chromatogram in higher mz_3942	0.308	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.95	Alanine_NA_10mM_2d1_neg_ms1_140k_3e6	69.44982:4332 70.45317:0 71.45653:0		2164	1842	-2	-2	-2	-2	-2	979	-2	-2	1116	-2	-2
17	5.558	69.49982	Unknown	[M-H]-	ion correlated with 3218; similar chromatogram in higher mz_4538	0.231	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.82	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.49982:5686 70.50317:0 71.50653:0		2121	-2	-2	-2	-2	1104	-2	951	-2	-2	-2	-2	-2
18	5.57	69.55438	Unknown	[M-H]-	ion correlated with 2918; ion correlated with 2448; ion correlated with 2628; ion correlated with 2668; ion correlated with 2889; ion correlated with 2906; ion correlated with 3142; ion correlated with 3664; ion correlated with 3935; ion correlated with 4462; ion correlated with 4601; ion correlated with 4686; ion correlated with 2087; ion correlated with 840; ion correlated with 1399; ion correlated with 1741; ion correlated with 3760; ion correlated with 4402; ion correlated with 4641; ion correlated with 191; ion correlated with 2756; ion correlated with 4240; ion correlated with 4699; ion correlated with 39; ion correlated with 116; ion correlated with 837; ion correlated with 1450; ion correlated with 1518; ion correlated with 1783; ion correlated with 2224; ion correlated with 4279; ion correlated with 4293; ion correlated with 4500; ion correlated with 2297; ion correlated with 317; ion correlated with 952; ion correlated with 1224; ion correlated with 1305; ion correlated with 1474; ion correlated with 1843; ion correlated with 2093; ion correlated with 2405; ion correlated with 2903; ion correlated with 2957; ion correlated with 3249; ion correlated with 3546; ion correlated with 3870; ion correlated with 4272; ion correlated with 4496; ion correlated with 852; ion correlated with 904; ion correlated with 1183; ion correlated with 1276; ion correlated with 1279; ion correlated with 1538; ion correlated with 1980; ion correlated with 2550; ion correlated with 2910; ion correlated with 214; ion correlated with 1365; ion correlated with 1470; ion correlated with 2511; ion correlated with 2962; ion correlated with 3273; ion correlated with 3555; ion correlated with 3891; ion correlated with 1640; ion correlated with 2337; ion correlated with 1259; ion correlated with 1391; ion correlated with 2145; ion correlated with 2353; ion correlated with 4016; ion correlated with 4630; ion correlated with 1141; ion correlated with 1751; ion correlated with 1388; ion correlated with 113; ion correlated with 1096; ion correlated with 1688; ion correlated with 2778; ion correlated with 2783; ion correlated with 3414; ion correlated with 3445; ion correlated with 3713; ion correlated with 3808; ion correlated with 3844; ion correlated with 3931; ion correlated with 4084; ion correlated with 1498; ion correlated with 1564; ion correlated with 2230; ion correlated with 2535; ion correlated with 2945; ion correlated with 3491; ion correlated with 4228; ion correlated with 4396; ion correlated with 83; ion correlated with 98; ion correlated with 2244; ion correlated with 3949; ion correlated with 4291; ion correlated with 238; ion correlated with 95; ion correlated with 558; ion correlated with 1430; ion correlated with 1596; ion correlated with 1694; ion correlated with 1870; ion correlated with 1882; ion correlated with 2231; ion correlated with 2378; ion correlated with 2827; ion correlated with 3083; ion correlated with 3131; ion correlated with 3697; ion correlated with 2107; ion correlated with 1059; ion correlated with 1766; ion correlated with 2571; ion correlated with 2846; ion correlated with 1108; similar chromatogram in higher mz_1642; similar chromatogram in higher mz_4529; similar chromatogram in higher mz_3790; similar chromatogram in higher mz_97; similar chromatogram in higher mz_1695; similar chromatogram in higher mz_1552; similar chromatogram in higher mz_2372; similar chromatogram in higher mz_1412; similar chromatogram in higher mz_1108; similar chromatogram in higher mz_3661; similar chromatogram in higher mz_3963; similar chromatogram in higher mz_3185	0.308	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.55438:8699 70.55773:0 71.56109:0		1193	2116	-2	-2	-2	-2	908	1512	-2	-2	-2	-2	-2
19	6.853	69.59464	Unknown	[M-H]-	similar chromatogram in higher mz_3369; similar chromatogram in higher mz_4343; similar chromatogram in higher mz_1273; similar chromatogram in higher mz_4613; similar chromatogram in higher mz_4534; similar chromatogram in higher mz_278; similar chromatogram in higher mz_272; similar chromatogram in higher mz_242; similar chromatogram in higher mz_1076; similar chromatogram in higher mz_2605; similar chromatogram in higher mz_4350; similar chromatogram in higher mz_4441	0.231	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.6	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.59464:2344 70.59799:0 71.60135:0		2288	703	-2	-2	-2	-2	2106	-2	-2	-2	-2	-2	-2
20	5.572	69.6916	Unknown	[M-H]-	ion correlated with 305; ion correlated with 1458; ion correlated with 1682; ion correlated with 301; ion correlated with 3681; ion correlated with 308; ion correlated with 2435; ion correlated with 3989; ion correlated with 134; ion correlated with 108; ion correlated with 7; ion correlated with 3807; ion correlated with 2220; ion correlated with 138; ion correlated with 895; similar chromatogram in higher mz_1059; similar chromatogram in higher mz_4254; similar chromatogram in higher mz_203; similar chromatogram in higher mz_1766; similar chromatogram in higher mz_2555; similar chromatogram in higher mz_2846; similar chromatogram in higher mz_2571; similar chromatogram in higher mz_33; similar chromatogram in higher mz_123; similar chromatogram in higher mz_199; similar chromatogram in higher mz_1193; similar chromatogram in higher mz_3240; similar chromatogram in higher mz_3719; similar chromatogram in higher mz_4372; similar chromatogram in higher mz_2590	0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	21	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.6916:15505 70.69495:0 71.69831:0		1829	-2	-2	-2	-2	1200	-2	-2	-2	-2	-2	-2	-2
21	6.985	69.70988	Unknown	[M-H]-	similar chromatogram in higher mz_1393; similar chromatogram in higher mz_1329; similar chromatogram in higher mz_1945; similar chromatogram in higher mz_4005; similar chromatogram in higher mz_2725; similar chromatogram in higher mz_2019; similar chromatogram in higher mz_2018; similar chromatogram in higher mz_1794; similar chromatogram in higher mz_91; similar chromatogram in higher mz_24; similar chromatogram in higher mz_1176; similar chromatogram in higher mz_3648	0.231	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.85	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.70988:1546 70.71323:0 71.71659:0		2452	2614	-2	-2	-2	-2	-2	-2	1316	-2	-2	-2	-2
22	6.059	69.77258	Unknown	[M-H]-		0.077	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.69	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.77258:1420 70.77593:0 71.77929:0		2655	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
23	5.473	69.77478	Unknown	[M-H]-	ion correlated with 1620; ion correlated with 1693; ion correlated with 1836; ion correlated with 3300; ion correlated with 4365; ion correlated with 1554; ion correlated with 192; ion correlated with 1292; ion correlated with 1819; ion correlated with 1905; ion correlated with 2225; ion correlated with 2789; ion correlated with 2805; ion correlated with 3717; ion correlated with 1603; ion correlated with 3784; ion correlated with 197; ion correlated with 1336; ion correlated with 1506; ion correlated with 1671; ion correlated with 2164; ion correlated with 2940; ion correlated with 4102; ion correlated with 182; ion correlated with 1010; ion correlated with 1030; ion correlated with 1216; ion correlated with 1541; ion correlated with 1926; ion correlated with 2569; ion correlated with 2680; ion correlated with 2963; ion correlated with 3731; ion correlated with 4666; ion correlated with 4724; ion correlated with 1075; ion correlated with 1179; ion correlated with 1398; ion correlated with 1496; ion correlated with 1690; ion correlated with 1862; ion correlated with 2351; ion correlated with 2534; ion correlated with 2593; ion correlated with 2926; ion correlated with 3051; ion correlated with 3483; ion correlated with 1004; ion correlated with 1278; ion correlated with 1581; ion correlated with 1752; ion correlated with 1986; ion correlated with 2488; ion correlated with 2801; ion correlated with 3289; ion correlated with 3929; ion correlated with 100; ion correlated with 1330; ion correlated with 1756; ion correlated with 1884; ion correlated with 1912; ion correlated with 2446; ion correlated with 3910; ion correlated with 4528; ion correlated with 1001; ion correlated with 1481; ion correlated with 1676; ion correlated with 3775; ion correlated with 3781; ion correlated with 284; ion correlated with 2037; ion correlated with 2394; ion correlated with 3292; ion correlated with 3696; ion correlated with 3714; ion correlated with 4347; ion correlated with 4478; ion correlated with 4619; ion correlated with 4673; ion correlated with 125; ion correlated with 1168; ion correlated with 1708; ion correlated with 2443; ion correlated with 2681; ion correlated with 2831; ion correlated with 3484; ion correlated with 3877; ion correlated with 4267; ion correlated with 4315; ion correlated with 4623; ion correlated with 1003; ion correlated with 2448; ion correlated with 2628; ion correlated with 2668; ion correlated with 2889; ion correlated with 2906; ion correlated with 3142; ion correlated with 3664; ion correlated with 3935; ion correlated with 4462; ion correlated with 4601; ion correlated with 4686; ion correlated with 2087; ion correlated with 840; ion correlated with 1399; ion correlated with 1741; ion correlated with 3760; ion correlated with 4402; ion correlated with 4641; ion correlated with 4240; ion correlated with 39; ion correlated with 116; ion correlated with 837; ion correlated with 1450; ion correlated with 1518; ion correlated with 2224; ion correlated with 4279; similar chromatogram in higher mz_1188; similar chromatogram in higher mz_4207; similar chromatogram in higher mz_2234; similar chromatogram in higher mz_1485; similar chromatogram in higher mz_215; similar chromatogram in higher mz_279; similar chromatogram in higher mz_269; similar chromatogram in higher mz_285; similar chromatogram in higher mz_877; similar chromatogram in higher mz_1378; similar chromatogram in higher mz_1841; similar chromatogram in higher mz_2575; similar chromatogram in higher mz_3898	0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.81	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.77478:6731 70.77813:0 71.78149:0		1072	-2	-2	-2	-2	-2	-2	1423	-2	-2	-2	-2	-2
24	5.862	69.79201	Unknown	[M-H]-	ion correlated with 140	0.077	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.13	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.79201:1652 70.79536:0 71.79872:0		2453	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
25	6.516	69.79995	Unknown	[M-H]-	ion correlated with 3304; similar chromatogram in higher mz_2587; similar chromatogram in higher mz_1786; similar chromatogram in higher mz_1826; similar chromatogram in higher mz_2159; similar chromatogram in higher mz_1407; similar chromatogram in higher mz_2478; similar chromatogram in higher mz_3295; similar chromatogram in higher mz_2757; similar chromatogram in higher mz_2153; similar chromatogram in higher mz_2447; similar chromatogram in higher mz_2864; similar chromatogram in higher mz_2810	0.385	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.2	Alanine_NA_10mM_2d1_neg_ms1_140k_3e6	69.79995:8788 70.8033:0 71.80666:0		790	1606	-2	-2	966	-2	2012	-2	811	-2	-2	-2	-2
26	6.267	69.87413	Unknown	[M-H]-	ion correlated with 123; similar chromatogram in higher mz_3505; similar chromatogram in higher mz_1449; similar chromatogram in higher mz_2407; similar chromatogram in higher mz_4646; similar chromatogram in higher mz_2082; similar chromatogram in higher mz_2330; similar chromatogram in higher mz_1932; similar chromatogram in higher mz_2242; similar chromatogram in higher mz_2904; similar chromatogram in higher mz_147; similar chromatogram in higher mz_2297; similar chromatogram in higher mz_3047; similar chromatogram in higher mz_2107; similar chromatogram in higher mz_2008; similar chromatogram in higher mz_206	0.231	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.63	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.87413:10522 70.87748:0 71.88084:0		1926	2303	-2	-2	-2	-2	-2	-2	1255	-2	-2	-2	-2
