Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	blank1	blank4	std_mix_1_msms	std_mix_2_msms	std_mix_3_msms	std_mix_4_neg_DDA	std_mix_highres
3122	2.778	116.07048	L-Valine	[M-H]-	similar chromatogram in higher mz_9936; similar chromatogram in higher mz_4753; similar chromatogram in higher mz_4835; found in higher mz's MsMs_4753	0.857	TRUE	2.936	116.0703	C5H11NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	2969.38	std_mix_4_neg_DDA	116.07034:100361424 117.07369:8726809 118.07705:403456	59.73574:31056 72.04381:50506 73.02764:50111 74.02338:425141 77.00471:27530 82.34718:26927 97.93487:29717 98.02318:31451 116.03422:46597 116.06981:10641575 116.08759:98339	-2	811	5571	5502	5430	3337	2306
3184	7.15	117.0181	Succinate	[M-H]-	similar chromatogram in higher mz_9701	0.857	TRUE	6.63	117.018	C4H6O4				430	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	501.57	std_mix_4_neg_DDA	117.01804:137014032 118.02139:6009542 119.02475:880973	73.01936:133947 73.02763:16160947 74.03177:53062 74.58407:55802 94.3204:47230 99.00716:1974936 100.85681:43387 107.18704:45235 116.92721:371366 117.01849:4275538	-2	1146	12008	12072	11716	6340	4424
3227	4.851	118.04984	L-Threonine	[M-H]-	found in higher mz's MsMs_10055; found in higher mz's MsMs_9867; found in higher mz's MsMs_7965	0.857	TRUE	5.001	118.0496	C4H9NO3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	3641.43	std_mix_4_neg_DDA	118.04963:261107280 119.05298:14597694 120.05634:1624206	72.00732:9669835 74.02334:20483950 77.58743:120687 87.48496:129439 117.92796:221916 118.04961:5533382	-2	944	9015	8979	8832	4704	3186
3330	7.684	120.01137	L-Cysteine	[M-H]-	found in higher mz's MsMs_11519; found in higher mz's MsMs_8531; found in higher mz's MsMs_8036; found in higher mz's MsMs_8100; found in higher mz's MsMs_16166	0.714	TRUE	7.806	120.0112	C3H7NO2S				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	100	100	100	100	280.38	std_mix_4_neg_DDA	120.01122:2324195 121.01457:85119 122.01793:350907	51.69429:3487 51.7564:3325 59.65525:4110 64.16784:3607 69.27319:3534 70.02801:6935 73.29594:3006 75.01114:3603 75.84126:3125 79.95598:30442 109.39205:3327 114.5256:3846 119.97452:46457 120.01048:13767 120.05538:28910	-2	-2	13851	13889	13520	7346	4182
3381	1.385	121.03942	Nicotinamide	[M-H]-		0.714	TRUE	1.391	121.0394	C6H6N2O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.3	100	93.1	94	100	332.4	std_mix_4_neg_DDA	121.03941:26681076 122.04276:4112110 123.04612:429818	51.82428:3957 57.12103:3846 59.65831:4045 74.534:4196 75.05923:4230 90.008:52671 93.03272:20617 94.02826:4447 114.22857:4170 120.99544:6017 121.02827:167035 121.03963:265656 121.06364:4753	-2	-2	2089	2080	2006	1085	1140
3426	1.195	122.02356	Nicotinate	[M-H]-		0.857	TRUE	1.205	122.0235	C6H5NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	5505.93	std_mix_4_neg_DDA	122.02348:119189944 123.02683:30871134 124.03019:1995735	50.16853:116703 54.03309:119311 57.03309:496719 59.04848:524796 60.28784:127443 66.43436:138100 78.03345:5454682 86.3444:136786 90.00803:348362 94.02826:325205 94.91842:141447 110.60561:148871 122.02325:16277794	-2	531	1482	1507	1492	748	669
3527	4.334	124.00627	Taurine	[M-H]-	found in higher mz's MsMs_8405; found in higher mz's MsMs_8463; found in higher mz's MsMs_11451; found in higher mz's MsMs_9151	0.714	TRUE	4.842	124.0061	C2H7NO3S				430	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	3238.36	std_mix_4_neg_DDA	124.00613:148032688 125.00948:5255462 126.01284:8777958	64.96851:452913 79.95586:19877820 80.96365:448678 94.97896:186582 97.93578:90800 106.97888:821155 123.9875:279209 124.00584:51048444 124.02548:269602	-2	-2	8801	8745	8625	4598	2184
3565	1.439	125.0344	Thymine	[M-H]-		0.714	TRUE	1.452	125.0345	C5H6N2O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	1459.25	std_mix_4_neg_DDA	125.03447:59030412 126.03782:6339660 127.04118:472881	57.03514:16860 58.02821:115386 61.84202:13936 83.16912:17157 109.27818:15027 109.71726:17998 125.0339:1557834 125.07101:39224	-2	-2	2217	2213	2133	1183	1232
3755	5.153	129.01816	Itaconate	[M-H]-		0.571	TRUE	5.122	129.0181	C5H6O4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	1129.44	std_mix_4_neg_DDA	129.01807:106932288 130.02142:7187730 131.02478:1327690	58.56002:36717 76.47545:36460 76.57832:35675 80.17741:36088 81.68632:33870 82.31529:32701 85.02783:6560415 86.0317:58455 101.97572:32446 102.1694:34274 106.86148:39857 108.82127:34678 117.34101:32885 128.87175:37593 129.01746:414916 129.05513:44284 129.09129:75525	-2	-2	9253	9293	9094	4829	-2
3816	5.477	130.0498	trans-4-hydroxy-L-Proline	[M-H]-	found in higher mz's MsMs_8810; found in higher mz's MsMs_5526	0.857	TRUE	5.593	130.0497	C5H9NO3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	7127.75	std_mix_4_neg_DDA	130.04971:199682816 131.05306:13679252 132.05642:3991593	57.03309:213574 57.31028:94015 66.03306:796719 68.04886:1463871 69.03263:95986 71.01216:1647992 73.02769:1190626 82.02835:548429 84.04369:2296908 86.02348:587714 99.00723:152498 112.03954:1097802 128.03355:15393581 129.03705:127811 130.04956:39571340 130.08617:143071	-2	1015	9844	9886	9665	5138	3528
3821	2.073	130.08623	L-Leucine or L-Isoleucine???	[M-H]-	similar chromatogram in higher mz_3824; similar chromatogram in higher mz_9886; similar chromatogram in higher mz_10129; similar chromatogram in higher mz_3826; similar chromatogram in higher mz_5185	0.857	TRUE	2.1	130.08611	C6H13NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	9688.16	std_mix_4_neg_DDA	130.08614:365965024 131.08949:21917044 132.09285:1245835	53.17873:141345 66.43282:163734 66.43641:139186 79.40333:146239 82.80198:132601 84.08016:205042 88.33322:154626 97.93487:191028 130.04959:261951 130.08618:77976408 130.10588:412775	-2	708	3795	3775	3729	2092	1658
3867	6.458	131.04514	L-Asparagine	[M-H]-		0.857	TRUE	6.568	131.045	C4H8N2O3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	100	100	100	100	684.18	std_mix_4_neg_DDA	131.04504:156053920 132.04839:8085075 133.05175:16749412	58.02812:530644 70.02799:4371436 71.01217:774230 71.02345:1488519 72.00727:1711165 85.03898:114499 86.02338:123510 87.055:149810 88.03865:5215298 95.02371:3159602 96.00749:151531 111.01836:708524 113.03368:9102931 114.01809:14046899 115.00256:1469804 131.04424:3451593	-2	1068	11734	11799	11535	6235	3944
3869	11.964	131.08144	L-Ornithine	[M-H]-	similar chromatogram in higher mz_8883; similar chromatogram in higher mz_10308; similar chromatogram in higher mz_10609; similar chromatogram in higher mz_11216; similar chromatogram in higher mz_12006; found in higher mz's MsMs_10308; similar chromatogram in higher mz_19367	0.714	TRUE	11.919	131.0813	C5H12N2O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	72.15	std_mix_4_neg_DDA	131.08136:18238020 132.08471:1594419 133.08807:133581	56.1935:3437 58.02431:3212 70.028:9388 72.00786:3898 83.05996:21009 85.06428:5818 85.07544:7402 87.04362:24882 88.03866:8623 93.17786:3310 95.02377:4283 103.66177:3579 109.01535:3535 113.03371:17603 113.07016:11163 114.01803:25170 125.7357:3411 130.99158:4428 131.03426:10604 131.04422:4538 131.05428:16160 131.08122:1192959 131.10115:6621	-2	-2	18473	18570	18718	8931	5000
3917	6.641	132.02919	L-Aspartate	[M-H]-	similar chromatogram in higher mz_5695; found in higher mz's MsMs_9701; found in higher mz's MsMs_11735; found in higher mz's MsMs_11219	0.714	TRUE	6.63	132.02901	C4H7NO4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	98.7	100	97	97	100	5576.26	std_mix_4_neg_DDA	132.02902:372159872 133.03237:22869632 134.03573:3506980	50.16685:55174 55.13584:61087 58.70012:54160 68.27454:73650 70.028:121352 71.01209:1659032 72.00738:290762 72.01597:62233 74.1358:55386 76.31394:54785 80.55051:60585 85.78699:55173 88.03865:14914148 89.04227:134591 114.0181:1056563 115.0025:4325344 115.02129:89827 132.02867:6828479	-2	1075	12015	12077	11764	6344	-2
3998	1.75	134.04602	Adenine	[M-H]-	found in higher mz's MsMs_8437	0.857	TRUE	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	585.22	std_mix_4_neg_DDA	134.04608:20571858 135.04943:1524211 136.05279:102462	55.77076:9624 65.01275:15722 68.02373:14564 72.82502:9543 80.96353:33158 92.02415:227896 97.93486:10956 107.03464:1069830 131.17805:12039 134.0239:67407 134.04597:9834136 134.06657:56771	-2	683	2915	2897	2906	1594	1564
4046	1.929	135.03009	Hypoxanthine	[M-H]-	found in higher mz's MsMs_13115	0.714	TRUE	1.925	135.03011	C5H4N4O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	180.86	std_mix_4_neg_DDA	135.03009:9586996 136.03344:955722 137.0368:28503902	65.0128:36450 66.00804:4113 75.00742:12769 80.97389:3741 86.94338:3954 92.02413:1686881 92.03584:11353 93.02702:11016 93.25127:3939 106.02708:4322 107.03456:13611 107.04822:14728 108.03838:11746 109.94106:59531 126.02908:5729 133.01424:21274 134.89349:226432 135.00798:21170 135.03032:3037959 135.04965:105034	-2	-2	3439	3418	3462	1893	1661
4084	8.978	136.07561	Tyramine	[M-H]-		0.714	TRUE	8.879	136.0755	C8H11NO				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	1201.53	std_mix_4_neg_DDA	136.07553:25235302 137.07888:2064763 138.08224:68882	74.32446:12876 93.03299:22005 106.04055:3102041 107.04928:33113 108.02029:300641 109.94102:86920 135.94431:43455 136.0481:21609 136.0752:7216088	-2	-2	14771	14949	14735	7772	4684
4125	1.768	137.0345	Urocanate	[M-H]-	found in higher mz's MsMs_5991	0.857	TRUE	1.808	137.03439	C6H6N2O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	6815.95	std_mix_4_neg_DDA	137.03439:177114016 138.03774:26963208 139.0411:1560078	58.36751:25547 66.0335:190272 66.43179:26104 93.0347:100623 93.04407:10766317 94.04729:77752 99.81768:26492 100.53764:25325 111.93602:27373 131.84901:25885 136.8904:92744 137.03481:1431488	-2	662	3259	3207	3226	1694	1345
4439	7.248	145.01329	2-Oxoglutarate/a-Ketoglutaric acid	[M-H]-		0.714	TRUE	7.174	145.013	C5H6O5				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	666.25	std_mix_4_neg_DDA	145.013:95489968 146.01635:7619240 147.01971:13137608	57.03315:478479 57.15176:40644 58.39587:44961 61.42939:44472 73.02773:275982 86.39085:47707 101.02321:3415387 102.02653:56996 118.26395:46498 145.01309:392157 145.0961:53657	3077	-2	13013	13054	12681	6927	-2
4443	6.532	145.06073	L-Glutamine	[M-H]-		0.857	TRUE	6.63	145.06059	C5H10N2O3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	99.9	100	99.6	100	100	182.78	std_mix_4_neg_DDA	145.06062:26799692 146.06397:1414629 147.06733:130267	58.02808:51904 67.02847:23617 70.028:15893 72.00728:60220 72.04381:22501 74.0234:150164 82.02869:66706 84.04372:355144 86.02338:41202 97.03921:57109 98.02318:54195 99.05492:38318 101.05984:17576 101.07049:244535 107.02303:29691 109.03917:500185 125.03391:222405 127.04985:1643066 128.03358:750874 128.05278:15984 142.0369:25350 145.06128:1601674 145.08449:19595	-2	1073	11886	11943	11641	6348	3994
4445	12.821	145.09731	L-Lysine	[M-H]-	found in higher mz's MsMs_10807; found in higher mz's MsMs_9851; found in higher mz's MsMs_6153; similar chromatogram in higher mz_4448; similar chromatogram in higher mz_7806; similar chromatogram in higher mz_11768; similar chromatogram in higher mz_12470; similar chromatogram in higher mz_13095; similar chromatogram in higher mz_13321; similar chromatogram in higher mz_13759; similar chromatogram in higher mz_13766; similar chromatogram in higher mz_18834; similar chromatogram in higher mz_19606; found in higher mz's MsMs_11147	0.714	TRUE	12.773	145.09711	C6H14N2O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	294.84	std_mix_4_neg_DDA	145.09711:18356758 146.10046:2091263 147.10382:93766	56.994:17799 83.04838:7512 87.00648:5813 97.07549:13349 99.08016:7019 99.09139:14083 100.92421:24073 101.02322:9432 101.05887:11890 102.05488:17003 115.03883:4908 118.03979:11602 128.03352:9070 145.01323:7194 145.03975:7645 145.04968:18328 145.07289:12739 145.09775:1680751	-2	-2	19012	19084	19674	9033	5062
4476	5.913	146.04482	L-Glutamate	[M-H]-	found in higher mz's MsMs_6258; found in higher mz's MsMs_6267; found in higher mz's MsMs_6256	0.714	TRUE	6.01	146.0448	C5H9NO4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	933.82	std_mix_4_neg_DDA	146.0448:158626160 147.04815:9636210 148.05151:1286182	71.01325:66602 77.03933:71072 84.04434:137451 85.02782:190031 89.89474:77919 102.05485:20227360 103.05774:152201 118.69207:65375 124.43132:66997 128.03355:11556746 129.01897:74669 146.02393:289684 146.04402:7883798	-2	1010	10778	10869	10534	5621	-2
4536	1.25	147.0652	(RS)-Mevalonate	[M-H]-		0.857	TRUE	1.273	147.065	C6H12O4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	98.7	100	97	97	100	291.21	std_mix_4_neg_DDA	147.06505:24552410 148.0684:2123730 149.07176:298374	57.03307:56465 59.01233:534584 68.99403:9881 71.04844:220200 72.05193:10019 77.01304:11184 85.02795:19520 87.00713:28689 99.04369:12077 129.05498:18419 146.98605:14142 147.01648:39890 147.02832:46966 147.06546:441417 147.08414:16544	-2	578	1698	1748	1711	865	792
4572	2.253	148.04277	L-Methionine	[M-H]-	found in higher mz's MsMs_5281; found in higher mz's MsMs_12637	0.714	TRUE	2.284	148.0426	C5H11NO2S				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	10193.78	std_mix_4_neg_DDA	148.04263:137010656 149.04598:9146545 150.04934:7430724	61.14857:64878 66.43179:84569 67.64694:57922 67.66014:64566 100.03849:691188 118.12987:64822 123.71557:63148 136.2953:67029 141.34419:68819 148.04295:1464508	-2	-2	4238	4226	4147	2282	2125
4576	1.641	148.06175	3-methyl Adenine	[M-H]-	similar chromatogram in higher mz_4884; similar chromatogram in higher mz_5704; similar chromatogram in higher mz_7236; similar chromatogram in higher mz_8596	0.714	TRUE	1.636	148.0616	C6H7N5				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	319.02	std_mix_4_neg_DDA	148.06155:1086074 149.0649:107490 150.06826:39204	65.65442:3755 69.2158:3686 106.02708:5886 106.04055:3845 110.38747:3871 121.051:6854 132.03014:5529 133.03748:608853 148.0414:5997 148.06194:815547	-2	-2	2710	2706	2706	1453	1501
4662	2.731	150.0412	Guanine	[M-H]-	similar chromatogram in higher mz_7017; similar chromatogram in higher mz_7599; found in higher mz's MsMs_6178; similar chromatogram in higher mz_9331	0.857	TRUE	2.769	150.041	C5H5N5O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	719.82	std_mix_4_neg_DDA	150.04097:12851229 151.04432:766099 152.04768:3401786	66.00812:37109 78.00853:11144 82.03966:50866 90.00801:9776 92.9265:49476 106.00321:39365 107.03448:314575 108.01909:274304 126.02901:456341 132.99374:29943 133.01404:3961413 133.03593:22322 134.01831:37157 149.99283:21302 150.04152:3009314 150.06604:17801	-2	812	5398	5370	5273	3067	2322
4702	2.03	151.02522	Xanthine	[M-H]-	found in higher mz's MsMs_10453; found in higher mz's MsMs_10234; found in higher mz's MsMs_7121; found in higher mz's MsMs_14260; found in higher mz's MsMs_9590	0.857	TRUE	2.062	151.0251	C5H4N4O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	2835.47	std_mix_4_neg_DDA	151.02509:53577920 152.02844:6169910 153.0318:388661	51.75498:10868 61.25666:11105 66.82436:10174 73.10999:10397 80.08146:9759 107.04928:13818 108.01922:1808900 109.02181:14220 126.02914:113912 133.01413:30267 136.01498:37621 141.40157:10920 150.99805:40621 151.02452:10770482 151.05087:76762 151.08609:14531	-2	696	3760	3741	3700	2042	1625
4704	2.916	151.06009	D-Arabitol	[M-H]-	similar chromatogram in higher mz_10496; similar chromatogram in higher mz_10538; found in higher mz's MsMs_6540; similar chromatogram in higher mz_6217; similar chromatogram in higher mz_6291; similar chromatogram in higher mz_9709; similar chromatogram in higher mz_6208; similar chromatogram in higher mz_7060; similar chromatogram in higher mz_15050; similar chromatogram in higher mz_10672; similar chromatogram in higher mz_9002	0.857	TRUE	2.986	151.0601	C5H12O5				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	100	100	100	100	2463.82	std_mix_4_neg_DDA	151.06009:127832536 152.06344:9702278 153.0668:1217528	55.0172:57523 57.03309:33272 58.00419:24717 59.01237:1368825 69.03317:22291 71.01217:2051908 72.99154:52049 73.02769:255400 75.00743:17389 83.0125:132105 85.02786:301097 87.00741:108579 89.02316:1923088 91.03819:31417 97.02833:15409 101.02325:2113319 103.03889:32326 107.04928:24188 108.01921:50726 113.02348:163625 119.03382:207128 131.03427:167793 133.0493:148146 136.015:42190 149.04425:46963 151.02501:278410 151.0598:2110832	-2	824	5857	5787	5677	3422	2365
4838	5.982	154.06116	L-Histidine	[M-H]-	found in higher mz's MsMs_12487	0.714	TRUE	6.2	154.0612	C6H9N3O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	2087.55	std_mix_4_neg_DDA	154.06119:77135832 155.06454:5963045 156.0679:412986	67.02847:295044 72.0073:627865 74.02331:53506 80.0366:242384 81.04444:526042 93.04408:4631110 95.02375:53308 108.05547:912076 109.03913:503956 110.0713:2123354 118.03977:289212 134.03419:71826 136.04964:1489474 137.03484:5471201 138.03694:65432 151.03677:41230 153.98979:45883 154.03513:116653 154.06058:22216524 154.08591:157942	-2	-2	11095	10747	10927	5841	3734
4884	1.585	155.00894	Orotate	[M-H]-	found in higher mz's MsMs_11741; found in higher mz's MsMs_11379; found in higher mz's MsMs_10532; found in higher mz's MsMs_7236; found in higher mz's MsMs_14360; found in higher mz's MsMs_10578; found in higher mz's MsMs_12489	0.857	TRUE	1.619	155.0087	C5H4N2O4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	4033.13	std_mix_4_neg_DDA	155.00871:418362432 156.01206:31014774 157.01542:3466926	67.02846:463026 111.00278:1242637 111.01832:204593184 111.03495:1425828 112.02137:1517445 155.00798:3727633	-2	649	2713	2736	2747	1412	1193
