"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
2604	"N-Acetyl-L-Glutamine"	490	1.219491	1.584243	1.950469	187.0717	1067369856	19326676992	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2572; found in higher mz's MsMs_2647"	"1.568"	"187.0714"	"C7H12N2O4"	""	""	""	330	"True"	"True"	"True"	"100"	"99.8"	"99.8"	"100"	"99.9"	5980.455	"186.98832:163194 187.03407:95782 187.04014:50185 187.0462:103335 187.05348:76760 187.05621:86499 187.06107:100785 187.06471:435846 187.07169:277098048 187.07624:1811782 187.08109:250218 187.08594:63690 187.08837:158231 187.0908:56348 187.09596:92246 187.09808:59277 187.10081:58848 187.1081:72594 187.15393:96015 187.15605:64174 188.06855:1256946 188.07472:19667008 188.0793:134686 189.07196:57620 189.07566:1712395 190.05317:213661 190.07312:60928 190.07933:105923 192.03285:143661"	"58.02812:14983669 62.9798:478337 76.54907:535343 83.05985:1213079 84.04359:978567 101.07063:5292877 107.06082:570438 109.03908:1842154 125.03517:696056 125.07104:80557664 127.04988:81815240 128.03365:11529269 128.05412:609866 143.08154:11773602 145.06128:86643184 145.08446:820590 153.54305:526553 169.06033:34108508 170.04453:2016619 187.07145:83814648 188.07531:938324"
2666	"Uracil"	502	1.269474	1.617472	2.368921	111.0187	230592496	4317969408	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_2674; similar chromatogram in higher mz_2715; similar chromatogram in higher mz_2720; similar chromatogram in higher mz_2727; found in higher mz's MsMs_2715; found in higher mz's MsMs_2747; found in higher mz's MsMs_2740; found in higher mz's MsMs_2736"	"1.619"	"111.0187"	"C4H4N2O2"	""	""	""	330	"True"	"True"	"True"	"100"	"73"	"74.7"	"100"	"89"	1500.893	"110.95698:60815 111.01868:61737968 111.02076:405424 112.01591:168192 112.02209:1816472 112.98433:313115 113.02279:101264 114.05471:76091 115.00251:7011304 115.03873:157884 115.07541:383842 116.00587:151780"	"57.07764:94038 59.72348:91255 59.85328:101981 66.26108:93452 68.01255:189390 95.93346:295917 110.9564:532749 111.01832:8417461 123.47443:102916"
2706	"3-methyl Adenine"	508	1.452398	1.634111	2.067835	148.0618	2630814.5	33786604	"null"	"[M-H]-"	"M + 0"	""	"1.636"	"148.0616"	"C6H7N5"	""	""	""	330	"True"	"True"	"True"	"100"	"87.9"	"87.9"	"100"	"95"	629.5616	"148.06176:1159699 149.05867:45993 149.06558:43576 149.99345:146900 150.01613:86048 151.03895:52245 151.06008:68174 151.36896:40881 152.00136:1801622 153.00463:70575"	"82.44364:3431 83.10655:3420 106.02707:10194 119.97554:4653 120.04413:3809 121.05098:5816 132.03012:7351 133.03887:906636 148.06191:1062048 149.06495:5800"
2736	"Orotate"	514	1.28612	1.650722	1.950469	155.0089	883411968	14588988416	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_2790; found in higher mz's MsMs_2797; found in higher mz's MsMs_2796; found in higher mz's MsMs_2793; found in higher mz's MsMs_2747; found in higher mz's MsMs_2740; found in higher mz's MsMs_2715"	"1.619"	"155.0087"	"C5H4N2O4"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	3479.088	"154.94585:152953 154.98126:80987 154.984:38951 154.98766:64402 154.98972:130834 154.99613:77174 154.99887:100376 155.00253:320274 155.00528:641866 155.00893:225923696 155.01214:1224361 155.01603:188056 155.01787:57336 155.0197:136199 155.02427:37038 155.0261:44896 155.02908:118903 155.03732:115245 155.07097:104451 155.0728:50237 156.00584:1008460 156.00868:79391 156.01214:13125813 157.01292:1339116 157.01556:100312 157.04985:49552 157.0858:95999 157.12209:229522 158.01643:103996 158.0447:90841"	"53.43418:302741 64.16539:300108 67.02845:304681 111.00276:1544602 111.01831:199631072 111.03161:1178844 132.22892:289351 134.01651:298256 136.42214:301790 155.00794:3263044 165.97351:291598"
2742	"Adenosine"	514	1.269474	1.650722	1.900026	266.0894	3782759.5	43960688	"null"	"[M-H]-"	"M + 0"	""	"1.67"	"266.0889"	"C10H13N5O4"	""	""	""	330	"True"	"True"	"True"	"100"	"74.6"	"74.6"	"100"	"89.4"	996.3384	"266.08944:1562707 267.09269:133407 271.05484:94479"	"51.89157:3774 65.28108:3569 70.32465:3422 94.52315:3353 96.95854:7193 107.03456:5325 116.93812:4519 121.61511:3848 122.00661:5571 134.01946:6453 134.04594:2410386 143.0344:4715 150.04164:9126 184.24956:4166 188.26384:4188 222.11269:4357 266.09051:63315 266.15296:49421"
2897	"Adenine"	544	1.584243	1.735161	2.47006	134.0461	45625904	712267456	"null"	"[M-H]-"	"M + 0"	""	"1.775"	"134.0461"	"C5H5N5"	""	""	""	330	"True"	"True"	"True"	"100"	"87.9"	"87.9"	"100"	"94.9"	885.8815	"134.04335:87722 134.04611:13313684 134.04868:74155 135.0431:142511 135.04946:412298 135.94375:138359 137.03459:4405200 137.93946:49609 138.01864:77190 138.03785:164725 139.03858:30825"	"56.2815:13831 57.99622:16960 66.4328:22061 80.96352:24866 92.02415:180507 97.93485:19151 107.0346:1016310 134.02387:39856 134.04594:7160290 135.04964:42238"
2991	"Creatinine"	562	1.435581	1.785606	2.983348	112.0504	122928888	1539431680	"null"	"[M-H]-"	"M + 0"	""	"1.808"	"112.0503"	"C4H7N3O"	""	""	""	330	"True"	"True"	"True"	"100"	"73.5"	"73.5"	"100"	"89"	1713.677	"112.01183:53893 112.01613:83136 112.02209:259279 112.04262:27500 112.04374:29497 112.04599:55560 112.04712:52961 112.04839:259622 112.05036:62277456 112.05246:418365 112.05528:45941 112.05753:27038 112.06625:25904 112.06751:33563 112.9844:269413 113.02293:76951 113.03433:7328294 113.03647:51850 113.0473:296586 113.05372:2335892 114.01832:224058 114.03161:29391 114.03782:172504 114.05455:104342 114.93519:100136 115.00234:134808 115.0388:240571 115.07525:387814 116.03419:1108240 116.07033:31445 116.92751:79552 116.95833:34831 117.01789:56648"	"55.9998:4980 58.02807:11401 67.99978:5439 68.99411:34842 69.00775:18874 69.01575:4496 79.95584:4182 83.02324:9430 97.02649:5891 110.0352:29232 112.02266:281245 112.03379:24010 112.05064:3811501 113.03467:30196 113.0544:19173"
3140	"L-Phenylalanine"	580	1.502154	1.834266	2.999556	164.0708	397153856	5249755136	"null"	"[M-H]-"	"M + 0"	""	"1.808"	"164.0705"	"C9H11NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"93.8"	"93.8"	"100"	"97.4"	3072.006	"164.00254:134081 164.04064:88737 164.06406:113165 164.06606:357284 164.07077:174249888 164.07428:814289 164.07951:137875 164.08649:94403 164.10144:115155 165.01853:140466 165.0678:480450 165.07406:16263384 166.05312:386822 166.07512:379498 166.07743:415212 169.0606:606216"	"66.43126:365326 72.00779:17035780 91.05357:1614488 97.93669:323324 103.05375:1093704 146.06074:492821 147.04353:72959784 148.04819:1694926 164.07129:54712704 165.07537:1318399"
3146	"Uridine"	580	1.252366	1.834266	2.368921	243.062	37302648	455219264	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_3103"	"1.857"	"243.0616"	"C9H12N2O6"	""	""	""	330	"True"	"True"	"True"	"100"	"98.4"	"99.8"	"100"	"99.5"	800.6314	"243.062:14969205 244.06505:979142 245.06657:84929 247.04814:319032"	"66.03361:24673 68.01255:3926 82.02838:57175 87.00723:5243 96.04407:7733 108.04368:22188 110.02312:793734 111.01833:192285 117.01853:17143 120.04413:8677 122.02336:37067 124.03857:11085 126.05457:5563 132.02868:13119 138.01847:7690 138.05539:8428 140.03361:118815 152.03468:233626 153.02986:110851 164.6229:4075 182.04432:19500 200.0566:515353 242.98563:14907 243.02156:8016 243.06107:414504 243.15818:5063"
3207	"Urocanate"	586	1.384746	1.850391	2.319469	137.0346	352087840	3919635968	"null"	"[M-H]-"	"M + 0"	""	"1.808"	"137.03439"	"C6H6N2O2"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	10082.29	"136.98172:73152 136.98286:123698 137.01157:124659 137.03097:349612 137.03173:1415841 137.03458:239696272 137.03724:1522966 137.03953:268466 137.04257:96926 137.04409:83905 137.0458:79748 137.0869:171440 138.03151:891530 138.03785:15171110 138.04054:122265 139.03871:758394 139.0411:232204 140.97921:216475"	"62.09001:286060 66.03349:991771 76.02702:309096 83.09864:341006 93.04406:67513600 137.03476:9327867"
3224	"L-Dihydroorotic acid"	586	1.351763	1.850391	2.352254	157.0244	1621056256	18725447680	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_3304; found in higher mz's MsMs_3244; found in higher mz's MsMs_3160; found in higher mz's MsMs_3291; found in higher mz's MsMs_3233; found in higher mz's MsMs_3232"	"1.824"	"157.0244"	"C5H6N2O4"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	9226.419	"156.76901:102875 156.80835:162758 156.89663:134411 156.95933:277182 156.96119:433702 156.96679:141680 156.96959:124078 156.98171:139688 156.99174:136957 156.99454:187957 156.99641:447684 157.0006:253629 157.0041:260416 157.00581:402772 157.0076:106908 157.01623:343792 157.0181:488376 157.0209:2701891 157.02439:945627200 157.0279:6444650 157.0307:1008656 157.03443:382272 157.0363:203564 157.0384:199823 157.0412:158365 157.04423:421046 157.04586:186072 157.04773:108247 157.04913:193677 157.05053:201107 157.05356:503408 157.058:135703 157.06663:194689 157.07224:134105 157.08321:150803 157.08624:119426 157.08877:678183 157.12173:171529 157.23855:129686 157.24206:138249 158.02124:4401399 158.02418:232894 158.02771:56550852 158.03101:223335 158.04459:2457393 158.98956:138888 159.01618:169724 159.02474:180804 159.02852:6965772 159.03116:516129 159.04757:133160 160.0319:437601 160.06031:1524017"	"60.00773:583346 66.43228:277481 70.02857:16351461 71.0121:474918 71.02346:2963609 71.03141:185489 86.02351:1173797 96.00761:1785489 111.01829:183291 113.03477:99530960 113.05074:770666 114.01809:17638716 114.03689:989622 125.95126:168945 132.46866:155076 148.11144:149179 149.82222:173053 157.02467:11198202 157.12175:230253 158.04493:289155 160.30212:179711"
