"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
1085	"Nicotinamide"	398	1.035483	1.390923	2.113053	121.0394	26681076	306922464	"null"	"[M-H]-"	"M + 0"	""	"1.391"	"121.0394"	"C6H6N2O"	""	""	""	330	"True"	"True"	"True"	"100"	"93.1"	"94"	"100"	"97.3"	441.0818	"121.02837:204376 121.03706:77953 121.03942:15749178 121.04179:78174 122.00706:23977 122.02352:814469 122.03471:213217 122.03647:42344 122.04286:670300 123.0187:40992 123.02048:45602 123.02672:55218 124.00039:42972 125.03133:15476 125.03432:6041235 125.0368:30792 126.03156:29400 126.0378:150184"	"51.82428:3957 57.12103:3846 59.65831:4045 74.53399:4196 75.05922:4230 90.00799:52671 93.03272:20617 94.02826:4447 114.22857:4170 120.99544:6017 121.02827:167035 121.03964:265656 121.06364:4753 122.02325:22519"
1180	"N-Acetyl-Glycine"	418	0.9136572	1.452106	1.824188	116.034	285775552	3955968768	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1167"	"1.452"	"116.034"	"C4H7NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"94"	"94"	"100"	"97.5"	8683.064	"115.87175:15324 115.99333:85642 115.99904:19783 116.01489:20578 116.0186:32543 116.01978:29010 116.02097:19817 116.02215:20985 116.02689:48255 116.02823:72636 116.03001:185193 116.034:105751096 116.03623:689968 116.0386:72822 116.04053:99010 116.04512:17054 116.04646:20920 116.04764:27633 116.04883:36063 116.05001:25197 116.05179:40534 116.05357:18798 116.05535:19334 116.06484:17702 116.07418:56430 116.07536:32266 116.92709:409572 116.93314:26970 117.0178:114169 117.03092:246810 117.03725:4652611 117.03995:45186 117.05437:41452 117.92723:58388 118.03821:496598 118.04064:37641 118.04947:80429 118.90265:16007 118.91679:28861 119.03356:48080 119.04159:20305 120.01114:201374 121.02822:252414"	"54.705:185613 56.01254:151056 56.34083:147097 57.02656:152089 72.04382:5033723 74.02331:40209628 74.94893:162700 76.69414:132787 100.98664:140721 116.03407:4623604 116.92735:266709 118.848:177456"
1183	"Thymine"	418	1.018588	1.452106	1.873846	125.0345	59030412	717956288	"null"	"[M-H]-"	"M + 0"	""	"1.452"	"125.0345"	"C5H6N2O2"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	1509.159	"124.9889:20261 125.01392:15110 125.02651:15002 125.02784:14655 125.03:47024 125.03198:142517 125.03447:30076010 125.03696:167163 125.04143:15934 125.07957:17409 126.0297:22150 126.03155:114907 126.03774:1430587 126.04027:17771 127.03873:57106 127.07558:17912 127.98676:37682 128.01286:23367 128.0163:15677 128.02729:33040 128.02935:75625 128.03399:46867900 128.03656:316577 128.03931:31707 128.04155:45354 128.05134:17594 128.05477:24927 128.08072:25986 128.08175:17669 129.01775:151113 129.02934:18857 129.03108:72914 129.03733:2419372 129.05432:126625 129.09053:69526"	"57.03514:16860 58.0282:115386 61.84202:13936 83.16912:17157 109.27818:15027 109.71727:17998 125.03389:1557834 125.07102:39224 125.89902:20075 126.82735:14660"
1217	"Pyridoxine"	424	1.221949	1.469305	2.516215	168.0657	36359908	424985632	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1194"	"1.469"	"168.0657"	"C8H11NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"100"	"100"	"100"	"100"	1859.561	"167.99439:14666 168.05973:27908 168.06566:17986602 168.06929:115559 168.99851:22029 169.05766:19946 169.06075:168843 169.06882:1191674 169.08581:38477 169.09679:72428 170.04426:23239 170.07003:49178 170.07266:21510 170.99551:29706 171.06475:75784 171.10116:81708 171.13797:101840 172.09654:84711 172.95662:38075 173.04409:59431 173.05551:71178"	"65.99686:5114 81.95166:6002 85.02774:23955 94.02911:4287 107.03562:9154 108.04369:66212 108.61051:4506 110.06034:7762 121.05215:45934 122.06032:502055 123.06291:9828 124.07528:8027 125.03385:4118 125.09621:7095 127.04981:13674 135.02137:5512 135.03153:28253 136.03906:6353 138.05538:264909 148.03967:9507 150.05561:2297521 151.05805:44258 153.00488:3992 153.04259:15350 166.05062:587622 167.05373:10456 168.00809:12371 168.04942:80461 168.06591:962773 168.10315:7094 169.07071:12040 169.09774:26078 176.91333:3870 181.60946:3880"
1244	"Deoxyadenosine"	430	1.119864	1.486476	1.774541	250.0939	5886146.5	66690624	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1273"	"1.486"	"250.09399"	"C10H13N5O3"	""	""	""	330	"True"	"True"	"True"	"100"	"94"	"94"	"100"	"97.5"	941.0874	"250.06764:786500 250.09401:3046476 251.07132:48581 251.0976:241430 253.09287:17280 254.93457:91060 255.08805:714285"	"59.01227:21198 61.98664:722388 89.02233:6227 97.93761:4756 115.91928:9267 125.07102:19494 127.04962:29211 134.02535:22093 134.04582:3623619 135.04965:5640 143.08148:7578 145.06122:27584 160.06124:34576 166.05266:8351 169.06005:46907 187.07119:662327 249.58029:9650 249.98132:24981 250.09349:201230 250.14533:41320"
1293	"Deoxyuridine"	442	1.289246	1.518461	1.907823	227.0669	14051054	157606432	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1327"	"1.518"	"227.06689"	"C9H12N2O5"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	427.0905	"227.06688:6558784 227.95993:90501 228.06369:29076 228.06968:451909 229.07078:49644"	"57.77066:3772 59.01234:4995 61.98665:6980 66.03349:6975 66.11551:3558 82.02842:6173 94.02829:82683 97.6688:4555 98.02291:19001 99.9237:3985 100.93178:5430 111.00278:13922 111.01836:2670786 111.03495:16675 112.02144:12252 112.03943:9867 113.0348:9270 115.91957:25123 126.01833:33804 136.03915:47923 137.03483:12514 139.11233:4908 148.05164:4184 157.84349:3759 165.95934:4405 181.06977:5364 183.13729:7639 184.05991:525983 185.06359:4505 209.25716:4602 209.94796:39865 213.94284:7333 226.99585:10279 227.06747:235161 227.12892:14863 227.16464:8549 227.2002:151718 227.9586:21264"
1319	"Fumarate?"	448	1.305892	1.535144	1.907823	115.0024	19870376	231428464	"null"	"[M-H]-"	"M + 0"	""	"1.535"	"115.0023"	"C4H4O4"	""	""	""	330	"True"	"True"	"True"	"100"	"51"	"53.5"	"100"	"80"	70.52238	"115.00032:56125 115.00236:9502348 115.00456:56798 115.03878:110795 115.07522:216900 115.99356:30468 116.00594:173615 116.02527:22529 116.02883:25568 116.03001:24297 116.03401:42979260 116.03609:245825 116.04216:24646 116.07493:23894 116.92729:210314 117.00634:33319 117.01803:130376 117.0309:99521 117.03742:1461516 117.05437:20426 118.03837:93043 118.04947:41363 119.03358:26283"	"59.01234:16163 60.05628:13484 71.01214:2905401 71.04851:62011 72.04381:278190 74.02332:2197447 114.93432:122620 115.00173:285434 115.03884:24427 115.07556:114026 116.03339:228472 117.64906:11365"
1378	"N-Acetyl-L-Glutamine"	466	1.255907	1.585584	1.907823	187.0714	462099808	7222649344	"null"	"[M-H]-"	"M + 0"	""	"1.568"	"187.0714"	"C7H12N2O4"	""	""	""	330	"True"	"True"	"True"	"100"	"100"	"100"	"100"	"100"	11880.12	"186.98809:73265 187.02801:19099 187.03347:31720 187.04469:41006 187.04773:24892 187.05622:31208 187.05834:78197 187.0632:142737 187.06684:343681 187.07139:119467792 187.07594:699699 187.08109:81545 187.08595:38837 187.08959:19524 187.1084:53815 187.11387:20874 187.15363:31365 187.15575:26382 188.05484:40589 188.06858:607921 188.07471:9282826 189.07177:69025 189.07566:607230 189.07813:179411 190.05321:67183 190.07219:34306 192.03254:33884"	"58.0281:9800532 72.39542:235275 83.05986:707104 84.04433:957704 101.07037:3862696 107.05978:338509 109.03939:1175419 125.07095:56382840 126.05458:277917 126.07338:260533 127.0308:339870 127.04979:56329148 128.0335:7973836 128.05276:255913 143.0814:8563521 145.0612:55939680 146.06409:346107 169.06027:27469496 170.04455:1743423 170.06348:344305 187.07134:66255808 188.07533:782225"
1388	"Uracil"	472	1.289246	1.60269	2.467384	111.0187	98932400	1624857600	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_1359; similar chromatogram in higher mz_1377; similar chromatogram in higher mz_1378; similar chromatogram in higher mz_1379; found in higher mz's MsMs_1419; found in higher mz's MsMs_1436; found in higher mz's MsMs_1417; found in higher mz's MsMs_1433; found in higher mz's MsMs_1412"	"1.619"	"111.0187"	"C4H4N2O2"	""	""	""	330	"True"	"True"	"True"	"100"	"74.1"	"75"	"100"	"89.3"	1346.651	"110.99913:18263 111.00758:35334 111.01493:27716 111.0166:192418 111.01868:26413444 111.02062:179135 111.04365:48548 112.01563:88564 112.02198:722716 112.03911:33960 112.98405:161571 112.99772:35334 113.02298:75670 114.05472:36577 114.93498:52933 115.00237:2602990 115.03893:112687 115.07512:208429 116.00557:34264"	"65.99687:43951 66.43076:44153 67.02899:65107 68.01256:68728 84.88967:32007 95.93285:167755 110.95626:389310 110.99835:118465 111.01832:8869050 111.04384:51733 112.02257:52301"
1412	"Orotate"	478	1.001907	1.619361	1.907823	155.0087	418362432	5969442304	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1419; found in higher mz's MsMs_1436; found in higher mz's MsMs_1417; found in higher mz's MsMs_1433"	"1.619"	"155.0087"	"C5H4N2O4"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	6139.98	"154.79657:21835 154.94534:62778 154.94694:23087 154.97302:25008 154.98057:63266 154.98514:25522 154.98674:28260 154.99023:61923 154.99292:24817 154.99887:93858 155.00253:88947 155.00527:576966 155.00871:127371736 155.01191:759060 155.01397:167344 155.01763:83034 155.02038:60876 155.02381:40826 155.02793:62982 155.03159:27923 155.03594:36209 155.03777:34825 155.07119:74416 156.00562:580200 156.01191:7192515 156.02878:22050 156.06506:42614 157.01275:716926 157.01532:57340 157.02442:38951 157.04938:58533 157.08579:39714 157.12198:127627 158.04469:54825 158.9894:74928 159.06471:20459"	"67.02846:463026 111.00278:1242637 111.01832:204593184 111.03495:1425828 112.02137:1517445 155.00799:3727633"
1453	"3-methyl Adenine"	490	1.469305	1.653504	2.14709	148.0616	1086073.5	17589060	"null"	"[M-H]-"	"M + 0"	""	"1.636"	"148.0616"	"C6H7N5"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	327.594	"148.06155:348685 149.99327:82596 150.01593:25010 151.0251:29049 151.03896:31486 151.06008:58583 152.00144:201151 152.03448:29686 152.07072:19835"	"65.65442:3755 69.2158:3686 106.02709:5886 106.04055:3845 110.38746:3871 121.051:6854 132.03014:5529 133.03748:608853 148.0414:5997 148.06193:815547 149.06498:9210 158.60999:3515"
1470	"Adenosine"	496	1.406408	1.670314	1.924673	266.0889	1785282.875	20622052	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1494"	"1.67"	"266.0889"	"C10H13N5O4"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	228.1733	"266.08893:715527 267.09292:66368 271.05397:73172"	"60.80037:3520 96.95856:4151 107.03563:4031 110.125:3546 122.00663:4669 134.04599:1936832 134.06659:11901 150.04167:5543 223.88158:4598 264.28052:3837 266.09074:52784 266.14946:75584 283.66939:4186"
1594	"Adenine"	523	1.56844	1.757866	2.583879	134.0461	20571858	359681184	"null"	"[M-H]-"	"M + 0"	""	"1.775"	"134.0461"	"C5H5N5"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	322.0729	"133.99087:39248 134.03523:11396 134.04259:24587 134.04609:7899046 134.04867:48572 134.89369:47737 135.02875:18879 135.043:71726 135.04949:256555 135.89351:13409 135.94405:99611 136.03938:11922 136.05048:15790 136.98267:12967 137.02366:50845 137.02697:15490 137.03096:63999 137.03458:22013840 137.03724:179254 137.03876:36311 137.05036:11122 137.05778:12903 137.0869:21261 137.93964:21392 138.01823:21009 138.03131:64473 138.03784:1376515 138.04054:15431 139.03845:54215 139.04109:28670"	"55.77076:9624 65.01275:15722 68.02373:14564 72.82502:9543 80.96353:33158 92.02414:227896 97.93486:10956 107.03464:1069830 131.17806:12039 134.02389:67407 134.04598:9834136 134.06658:56771 134.89348:29061 135.04634:19512 135.0508:71945"
1690	"Creatinine"	541	1.518461	1.808282	2.768717	112.0503	62274316	884174464	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1691"	"1.808"	"112.0503"	"C4H7N3O"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	2311.757	"112.04823:152568 112.05034:27131358 112.05231:178667 112.99785:70002 113.02207:38655 113.02648:29058 113.02976:41590 113.03218:254290 113.03432:48267604 113.03631:305371 113.0376:67069 113.04729:171685 113.05353:599743 113.07351:41994 114.01834:1349350 114.03124:144582 114.03766:1325555 114.0547:87304 114.93497:38535 115.00265:54560 115.03877:273038 115.07492:185726 116.03403:1036269 116.92713:162270 117.01818:91062"	"55.99981:5807 58.02807:16876 67.99978:16756 68.99401:32156 69.0077:24847 83.02325:14952 97.0265:6610 110.03393:41962 112.00231:9518 112.02311:92545 112.05066:5905365 112.06643:45046 113.03366:127593 113.05383:28532"
1694	"Urocanate"	541	1.502684	1.808282	2.902058	137.0344	177114016	2321770752	"null"	"[M-H]-"	"M + 0"	""	"1.808"	"137.03439"	"C6H6N2O2"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	7046.64	"136.98268:39565 137.01138:43166 137.02393:80656 137.02546:42145 137.02926:35363 137.03154:368824 137.0344:93036000 137.03668:593595 137.04257:31516 137.0441:63469 137.05018:40096 137.05798:44971 137.08691:65734 137.93945:47512 138.03146:381127 138.03785:5936860 138.04055:37870 139.03851:226252 139.04096:135147 140.97942:138624 140.98497:93008"	"58.36751:25547 66.0335:190272 66.43179:26104 93.0347:100623 93.04407:10766317 94.04729:77752 99.81768:26492 100.53763:25325 111.93602:27373 131.84901:25885 136.8904:92744 137.0348:1431488 139.11234:25099"
