Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	unlabeled_A_20230718200130	unlabeled_ms1_amino	unlabeled_ms1_sugar	unlabeled_ms2_amino	unlabeled_ms2_sugar	unlabeled_S
4417	5.696	117.01802	Succinate	[M-H]-		1	TRUE	6.63	117.018	C4H6O4				430	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	96.6	96.7	94	93.7	100	737.29	unlabeled_A_20230718200130	117.01759:97603984 118.02094:2919396 119.0243:691883	55.01713:55600 58.965:39624 70.47416:43756 72.00718:49805 73.02755:12752540 74.02261:121033 99.0071:1394435 114.82597:46258 116.92599:111076 117.01722:3341548	9361	10531	-2	8124	7337	7458
4488	4.681	118.04918	L-Threonine	[M-H]-	found in higher mz's MsMs_11453; found in higher mz's MsMs_4492; found in higher mz's MsMs_14674; found in higher mz's MsMs_14123	1	TRUE	5.001	118.0496	C4H9NO3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	94.9	100	93.3	92.5	75	7507.53	unlabeled_A_20230718200130	118.04918:2447032320 119.05253:131303776 120.05589:16879120	54.87188:1154406 72.00716:98098432 74.0232:146101520 104.08741:1022661 113.62632:1008171 116.97518:1116728 118.04934:55486284	7436	7880	2240	6495	5790	5651
4620	7.26	120.01117	L-Cysteine	[M-H]-	similar chromatogram in higher mz_11549; found in higher mz's MsMs_11549; similar chromatogram in higher mz_11642; found in higher mz's MsMs_11642	0.833	TRUE	7.806	120.0112	C3H7NO2S				530	TRUE	TRUE	FALSE		FALSE	TRUE	null	null	64.1	94.8	33.4	35.6	13.3	38.75	unlabeled_A_20230718200130	120.01073:4391415 121.01408:47948 122.01744:274776	62.90821:3623 67.18011:3069 67.35805:3446 67.72397:3347 74.02261:9524 74.41867:3389 75.04063:3537 76.02693:6692 80.3731:3386 82.43787:3473 89.84937:3894 94.81137:3478 119.97417:8444 120.01032:17480 120.044:3914	11184	15022	-2	11198	9816	8920
4698	1.366	121.03953	Nicotinamide	[M-H]-	similar chromatogram in higher mz_5213	0.833	TRUE	1.391	121.0394	C6H6N2O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	79.1	100	54.9	71.3	41.7	64.4	unlabeled_ms2_sugar	121.03952:6933044 122.04287:664663 123.04623:200271	79.0287:4162 88.72733:3457 93.03279:13586 94.02805:5437 94.0393:5450 102.22302:4080 104.52277:3333 120.99502:5102 121.02785:115848 121.03922:34251 121.05058:56070 121.06574:4431	1893	2279	-2	1822	1787	707
4876	4.605	124.00562	Taurine	[M-H]-	similar chromatogram in higher mz_8629; found in higher mz's MsMs_14438; found in higher mz's MsMs_12195; found in higher mz's MsMs_12078; found in higher mz's MsMs_12080; found in higher mz's MsMs_15004; found in higher mz's MsMs_13255	0.833	TRUE	4.842	124.0061	C2H7NO3S				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	94.9	100	87.9	87.9	100	4030.67	unlabeled_A_20230718200130	124.00562:730472704 125.00897:21179084 126.01233:36257244	54.44602:271353 61.27614:255920 64.96852:2013522 67.38374:270557 79.94558:512321 79.95577:69582040 80.96344:1730228 81.06026:328970 94.97884:791526 102.33107:268590 106.97875:2765106 124.00573:205392944 124.02401:1398439	7219	7685	-2	6353	5640	5468
5299	1.997	130.08562	L-Leucine or L-Isoleucine???	[M-H]-	similar chromatogram in higher mz_5304; similar chromatogram in higher mz_5369; similar chromatogram in higher mz_7931; similar chromatogram in higher mz_12732; found in higher mz's MsMs_10800	1	TRUE	2.1	130.08611	C6H13NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.5	99.8	75	75	100	3834.96	unlabeled_ms2_amino	130.08621:543413120 131.08956:38514764 132.09292:2360811	57.43971:190802 58.66813:236159 65.26054:228466 71.41965:236291 82.06496:357634 84.08002:658186 85.33865:249188 121.69618:215162 130.04066:218867 130.06598:585828 130.08569:92665016	2885	3580	658	2753	2496	1683
	1.997	130.08562	L-Leucine or L-Isoleucine??? minor peak	[M-H]-	similar chromatogram in higher mz_5304; similar chromatogram in higher mz_5369; similar chromatogram in higher mz_7931; similar chromatogram in higher mz_12732; found in higher mz's MsMs_10800	1	TRUE	2.1	130.08611	C6H13NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.5	99.8	75	75	100	3834.96	unlabeled_ms2_amino	130.08621:543413120 131.08956:38514764 132.09292:2360811	57.43971:190802 58.66813:236159 65.26054:228466 71.41965:236291 82.06496:357634 84.08002:658186 85.33865:249188 121.69618:215162 130.04066:218867 130.06598:585828 130.08569:92665016	-2	-2	688	-2	-2	-2
5362	6.391	131.04495	L-Asparagine	[M-H]-	similar chromatogram in higher mz_6201; similar chromatogram in higher mz_7156; similar chromatogram in higher mz_13377; similar chromatogram in higher mz_13379; found in higher mz's MsMs_13606	0.833	TRUE	6.568	131.045	C4H8N2O3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	94.2	100	86.2	86.2	100	620.23	unlabeled_A_20230718200130	131.04453:144619216 132.04788:7251428 133.05124:47837480	58.028:299903 59.01183:107169 70.02794:2579276 71.01203:2108111 71.0233:649918 72.0072:1210498 86.0225:90187 87.05411:92287 88.03857:17912720 88.0495:118752 95.02282:1718064 96.00735:67608 111.01822:474164 113.03358:5178856 114.01796:8995316 115.00128:4930296 131.04408:2134422	10105	12099	-2	9185	8168	8007
5366	11.951	131.08084	L-Ornithine	[M-H]-	similar chromatogram in higher mz_11229; similar chromatogram in higher mz_15351	0.5	FALSE	11.919	131.0813	C5H12N2O2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	100	null	null	null	4.48	unlabeled_A_20230718200130	131.08084:687862 132.08419:34052 133.08755:8190		16182	19344	-2	15317	-2	-2
5438	6.556	132.02847	L-Aspartate	[M-H]-	found in higher mz's MsMs_14116; found in higher mz's MsMs_12925	0.833	TRUE	6.63	132.02901	C4H7NO4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	98.6	99.6	96.9	96.9	100	2741.72	unlabeled_A_20230718200130	132.02847:1407557888 133.03182:72631176 134.03518:11524330	51.90427:453028 56.31028:519464 59.01183:666941 70.02791:1072515 71.01207:18764508 72.00726:2481496 73.13896:492844 88.00799:534418 88.03858:160014272 89.04214:1116714 102.45196:491624 114.01803:9670297 115.00137:43194380 127.12848:512639 132.02859:72719248	9971	11556	-2	8747	7796	7874
5503	7.469	133.01245	Malic acid?	[M-H]-	found in higher mz's MsMs_11089; found in higher mz's MsMs_15239; found in higher mz's MsMs_13035; similar chromatogram in higher mz_13486; similar chromatogram in higher mz_13425	1	TRUE	8.003	133.013	C4H6O5				430	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	96.9	98	93.9	93.9	100	1786.23	unlabeled_S	133.01247:475359776 134.01582:23136610 135.01918:5125821	58.89418:199463 63.61792:190145 67.48932:170341 71.01201:19031438 72.9914:3424793 87.00713:541295 89.02216:3082392 114.98486:293196 115.00236:45569088 115.01878:300237 116.0056:437633 123.28707:201344 133.01247:16840994	11914	14773	4335	10999	9675	9553
5566	1.277	134.04601	Adenine minor peak	[M-H]-	found in higher mz's MsMs_14585; found in higher mz's MsMs_16959	0.833	TRUE	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	94.1	97	87.3	88	100	142.6	unlabeled_ms2_amino	134.04602:16011364 135.04937:919860 136.05273:394390	65.01271:15419 80.96342:205222 92.02395:155114 107.02271:12922 107.03533:710897 133.99139:59539 134.00717:8942 134.04549:6124910 134.06752:48056 134.08519:6537 134.09697:7289	1775	2083	-2	1700	1634	327
5568	1.612	134.04602	Adenine	[M-H]-	found in higher mz's MsMs_12991; found in higher mz's MsMs_15393; found in higher mz's MsMs_16114; found in higher mz's MsMs_15245	1	TRUE	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	94.9	99.6	88	88	100	308.04	unlabeled_ms2_sugar	134.04617:27770874 135.04952:1901212 136.05288:859478	65.0127:22622 75.00733:20290 92.02397:201820 107.02376:28785 107.03529:919890 117.94942:9607 134.04546:7900336 134.0675:61791	2279	2744	595	2186	2074	1136
5629	1.828	135.02805	Hypoxanthine peak 1	[M-H]-		0.833	TRUE	1.925	135.03011	C5H4N4O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	81.4	99.9	51.2	80.7	66.7	170.89	unlabeled_ms2_amino	135.02867:21275688 136.03202:566708 137.03538:447282	55.01759:8664 59.01236:142736 66.00801:8829 69.38209:7727 71.01219:56869 72.99149:143260 73.02815:9928 75.00735:1911079 76.01059:7918 87.0071:17461 89.02296:60206 91.05366:20756 92.02396:346906 99.007:9728 109.94083:83606 117.01821:179301 134.86336:83178 134.89296:24821 135.02834:1815976	2622	3161	-2	2521	2329	1453
5634	2.222	135.02823	Hypoxanthine peak 2	[M-H]-		0.833	TRUE	1.925	135.03011	C5H4N4O				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	77.4	99.5	44.3	59.2	83.3	114.34	unlabeled_ms2_sugar	135.02885:13090789 136.0322:373467 137.03556:316619	59.01237:71909 63.90483:6362 71.01231:38834 72.9914:95058 75.00732:1316902 76.07662:6043 82.03886:8227 87.00708:17227 89.02296:38201 92.02386:239002 99.9244:16480 106.04025:7395 107.04897:9292 109.94067:87506 117.01817:142132 134.86484:173425 134.89291:1479785 135.02971:1158471 135.0506:11403 135.06549:10959	3370	4162	-2	3210	2711	2051
6257	6.601	145.01259	2-Oxoglutarate/a-Ketoglutaric acid	[M-H]-	found in higher mz's MsMs_6268; found in higher mz's MsMs_15632; found in higher mz's MsMs_14437; similar chromatogram in higher mz_12667	1	TRUE	7.174	145.013	C5H6O5				430	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	61.8	98.3	0.9	67.5	9.1	338.97	unlabeled_A_20230718200130	145.01259:500777248 146.01594:30784394 147.0193:383301696	56.20382:267320 58.02801:784114 67.02785:422852 70.02791:324292 71.01146:310681 72.00718:1128740 72.99086:464502 74.02267:3144582 82.02779:1483352 84.04359:6571736 85.23708:320370 86.02326:902914 88.49713:261225 97.03909:1236696 98.02305:1388404 99.05478:1028910 101.02217:1363326 101.07034:4804916 102.05376:574912 107.02288:931898 109.03904:8254488 125.03389:4832811 125.58722:257579 127.04965:32430096 128.03339:16620130 145.05946:32722506	10642	12401	3619	9349	8213	8397
6268	6.361	145.0602	L-Glutamine	[M-H]-	found in higher mz's MsMs_15440; found in higher mz's MsMs_14338; found in higher mz's MsMs_13606; found in higher mz's MsMs_8244	0.833	TRUE	6.63	145.06059	C5H10N2O3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	98	98.4	97.5	99.3	90	934.09	unlabeled_ms2_amino	145.06065:946527808 146.064:61098952 147.06736:5553052	57.03268:328893 58.02807:1218435 66.39991:449261 66.6805:311559 67.02842:311658 70.0285:644483 72.0072:669623 72.99147:353343 74.02324:3280291 77.39386:389513 82.02831:1530503 84.04421:6690450 86.02322:1220602 95.43166:394863 97.03899:949609 98.02295:1208005 99.05468:1286269 101.02298:1518140 101.07022:5391228 101.79012:320097 102.05462:531011 107.02378:787081 107.11942:305062 109.03883:9644330 115.28817:330172 125.03478:4758868 127.04943:34341120 128.03444:14811150 130.4241:312784 140.61163:372100 142.0363:374018 145.06067:36719968	10213	12300	-2	9318	8280	8050
6271	12.708	145.0965	L-Lysine	[M-H]-	found in higher mz's MsMs_15755	0.833	TRUE	12.773	145.09711	C6H14N2O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	87.3	99.8	73.7	73.7	80	76.47	unlabeled_A_20230718200130	145.0965:18318074 146.09985:1640155 147.10321:92379	56.99395:24158 73.02754:4354 97.07536:9249 99.09032:5734 101.02219:24935 101.05874:5849 102.0538:49910 127.04966:9657 128.03368:40567 145.0495:6866 145.09592:1315145	16589	19612	-2	15523	12632	13028
6318	5.529	146.04465	L-Glutamate	[M-H]-	found in higher mz's MsMs_14441	1	TRUE	6.01	146.0448	C5H9NO4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	96.8	97.4	94	94	100	3828.16	unlabeled_S	146.04417:694227328 147.04752:41319560 148.05088:6365240	51.5412:173949 59.74529:173725 66.92646:198848 75.53571:174038 82.02831:299546 84.04349:218624 85.0277:310621 93.66249:184594 98.01015:171482 101.02212:324667 102.04006:394756 102.05377:52981836 103.05759:522087 126.3368:188808 128.03333:31120974 129.03685:275549 146.02371:692322 146.04381:20697402	9022	9830	2598	7747	6733	6860
6439	2.052	148.04201	L-Methionine	[M-H]-		0.833	TRUE	2.284	148.0426	C5H11NO2S				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	81.7	99.4	71.5	74.4	20	945.25	unlabeled_A_20230718200130	148.04201:79201592 149.04536:5028432 150.04872:3524464	59.01184:29443 65.96831:16762 98.01201:20321 100.03845:123302 108.25481:17215 128.34036:17451 147.23636:17072 148.04115:251708	2961	3735	-2	2890	2586	1762
6596	1.934	151.02509	Xanthine	[M-H]-	found in higher mz's MsMs_10095	0.833	TRUE	2.062	151.0251	C5H4N4O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	94.9	99.7	87.9	87.9	100	169.68	unlabeled_ms2_amino	151.0251:17915456 152.02845:781552 153.03181:140050	56.84032:5994 80.02428:7054 107.04898:14543 108.01894:1308274 109.02258:13508 109.03878:11264 126.02993:95437 126.48615:7029 133.01506:22819 136.01474:35957 150.81975:6517 151.02554:6584842	2835	3355	-2	2670	2436	1630
6723	5.593	154.06116	L-Histidine	[M-H]-	found in higher mz's MsMs_15243	1	TRUE	6.2	154.0612	C6H9N3O2				430	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	96.6	97.4	93.8	93.9	100	1273.63	unlabeled_A_20230718200130	154.06029:48420596 155.06364:2726921 156.067:0	59.01183:38368 67.02832:182896 72.00719:485971 74.02264:194635 80.03594:163681 81.04366:368456 82.01563:37998 86.02325:27163 93.04392:2835440 94.04716:39424 95.02363:29160 98.00923:25817 108.05524:495819 109.03892:399891 110.07003:1391560 118.03981:115272 128.03336:25804 134.03401:64168 136.04947:844949 137.03313:3300366 138.14143:22621 151.03658:57531 154.06027:12603572 154.08571:65427	8715	10513	3123	8108	7229	7102
6776	1.43	155.00804	Orotate	[M-H]-		1	TRUE	1.619	155.0087	C5H4N2O4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	87.6	99.5	67.5	75	100	405.77	unlabeled_ms2_amino	155.00873:18318088 156.01208:701467 157.01544:122475	59.01189:7970 66.008:6947 67.02841:12963 68.04922:11777 69.05216:9007 80.9641:4725 84.02008:9480 85.06413:6159 86.06789:6900 96.95833:7642 110.09617:62975 110.99801:10421 111.01908:4477226 111.03462:33029 111.0435:10290 111.09902:353961 112.01888:12190 112.02225:58317 127.09418:13703 137.09515:11849 154.94589:20034 155.00972:75228 155.03476:11942 155.06956:9321 155.09023:65549 155.10555:20037	2033	2417	571	1896	1857	866
6870	2.223	157.02559	L-Dihydroorotic acid	[M-H]-	similar chromatogram in higher mz_10675; similar chromatogram in higher mz_10724; similar chromatogram in higher mz_12458; similar chromatogram in higher mz_12571; similar chromatogram in higher mz_14009; similar chromatogram in higher mz_14949; similar chromatogram in higher mz_6993; similar chromatogram in higher mz_13756; similar chromatogram in higher mz_17663; similar chromatogram in higher mz_17442	0.833	TRUE	1.824	157.0244	C5H6N2O4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	64.2	98.1	27.9	28.8	43.5	134.86	unlabeled_ms2_amino	157.02629:3641390 158.02964:166803 159.033:1570873	59.01233:4243 61.98663:9579 65.01272:11172 66.07776:4109 69.03313:6382 71.01205:5138 72.00723:17685 73.22627:3249 78.95744:61175 85.02769:3907 86.02323:3645 86.05956:4271 89.01341:9133 91.02895:9708 96.96831:8197 97.00273:6178 102.05462:6699 113.01965:7360 113.03447:4948 113.05968:36154 113.09605:5160 114.0293:5620 114.05483:31213 114.09054:3973 115.02922:17201 115.08531:3611 116.02437:8213 130.03935:75549 130.06598:4163 131.03519:5058 138.90967:3409 139.07442:4879 156.86539:36658 156.94571:115051 156.99408:5239 157.01274:5856 157.04994:80855 157.07422:17814 157.12288:248200	3256	4146	-2	3212	2872	2052
6871	3.414	157.03494	Allantoin	[M-H]-	similar chromatogram in higher mz_8965; similar chromatogram in higher mz_9070; found in higher mz's MsMs_9070; found in higher mz's MsMs_8965	0.833	TRUE	3.555	157.0356	C4H6N4O3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95.8	99.9	92.9	91.5	88.9	776.08	unlabeled_A_20230718200130	157.03494:44955252 158.03829:2380402 159.04165:515000	50.25486:19212 57.71939:16796 59.02302:59029 71.02339:290674 72.00718:27039 97.00281:3794235 98.00556:39881 101.83409:17502 113.0586:43504 114.02947:3347901 114.04566:23075 118.62448:21591 140.00818:207322 157.03555:455279 157.12158:62792	4996	6050	-2	4911	4393	4113
7050	1.768	160.05986	Acetyl-L-Threonine	[M-H]-		1	TRUE	1.323	160.06059	C6H11NO4				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	62.4	96	0.7	61.6	37.5	779.21	unlabeled_A_20230718200130	160.05986:53049324 161.06321:3052550 162.06657:245574	60.99152:240097 72.00728:191418 74.02266:265667 82.02767:389351 84.04336:108391 98.02304:28305 100.03831:33992 128.01274:118002 128.03334:21657530 128.05397:110694 129.03691:200074 160.05965:35505	2701	3258	-2	2613	2389	1499
7274	3.911	164.03763	Methioninesulfoxide	[M-H]-		0.833	TRUE	3.907	164.0377	C5H11NO3S				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	87.8	99.9	66.7	83.8	86.7	59.37	unlabeled_ms2_amino	164.03766:4787897 165.04101:241222 166.04437:1054788	60.97393:24234 63.96071:135965 65.99682:6152 72.00727:62681 75.00735:5463 75.63858:3523 76.9688:135114 77.97643:9878 78.95745:3934 78.98408:5758 79.95583:176865 80.96354:21869 81.04433:7835 82.03979:27356 92.04907:6132 93.0328:13759 94.02805:4238 95.02355:3880 100.03923:270397 105.04471:6950 106.42142:3765 108.87697:3778 119.99386:4018 120.04415:36523 121.02801:98036 121.05059:11461 122.03434:9000 122.05352:14423 122.07143:4297 123.05473:9392 137.02364:7605 137.03429:9312 138.26126:3782 147.04465:142627 149.01595:29755 164.03667:252073 164.07071:114337	6439	6666	-2	5506	4700	4684
