																															Class	std	std	std	std
15	1.617	69.11804	Unknown	[M-H]-	similar chromatogram in higher mz_12770	0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.04	std_e1	69.11804:2072 70.12139:0 71.12475:0		2749	1157	-2	-2
16	3.809	69.12117	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.51	std_e1	69.12117:3345 70.12452:0 71.12788:0		6277	-2	-2	-2
17	3.447	69.1224	Unknown	[M-H]-	similar chromatogram in higher mz_9060; similar chromatogram in higher mz_751; similar chromatogram in higher mz_11560; similar chromatogram in higher mz_13058; similar chromatogram in higher mz_5220; similar chromatogram in higher mz_1129; similar chromatogram in higher mz_5029; similar chromatogram in higher mz_5054; similar chromatogram in higher mz_4381; similar chromatogram in higher mz_3313; similar chromatogram in higher mz_5613; similar chromatogram in higher mz_1031; similar chromatogram in higher mz_2048; similar chromatogram in higher mz_5247; similar chromatogram in higher mz_3523; similar chromatogram in higher mz_130; similar chromatogram in higher mz_2089; similar chromatogram in higher mz_3876; similar chromatogram in higher mz_1858; similar chromatogram in higher mz_4150; similar chromatogram in higher mz_4293; similar chromatogram in higher mz_1274	0.75	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.96	std_e1	69.1224:4479 70.12575:0 71.12911:0		6583	2019	-2	739
18	6.129	69.12621	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1.81	std_e1	69.12621:1342 70.12956:0 71.13292:0		10294	-2	-2	-2
19	7.271	69.12833	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.55	std_e1	69.12833:1893 70.13168:0 71.13504:0		11352	-2	-2	-2
20	5.082	69.1333	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.13	std_e1	69.1333:2856 70.13665:26684 71.14001:0		8569	-2	-2	-2
21	9.747	69.13882	Unknown	[M-H]-		0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.51	std_e1	69.13882:2324 70.14217:0 71.14553:0		13125	-2	-2	1303
22	7.432	69.14039	Unknown	[M-H]-	similar chromatogram in higher mz_2259; similar chromatogram in higher mz_6048; similar chromatogram in higher mz_4121; similar chromatogram in higher mz_6060; similar chromatogram in higher mz_11670; similar chromatogram in higher mz_3571; similar chromatogram in higher mz_4914; similar chromatogram in higher mz_4639; similar chromatogram in higher mz_10575; similar chromatogram in higher mz_4945; similar chromatogram in higher mz_3601; similar chromatogram in higher mz_11715; similar chromatogram in higher mz_4032; similar chromatogram in higher mz_4693; similar chromatogram in higher mz_4116; similar chromatogram in higher mz_4207; similar chromatogram in higher mz_2982; similar chromatogram in higher mz_3393; similar chromatogram in higher mz_4136; similar chromatogram in higher mz_3743; similar chromatogram in higher mz_2131; similar chromatogram in higher mz_5961; similar chromatogram in higher mz_4732; similar chromatogram in higher mz_1520; similar chromatogram in higher mz_4544; similar chromatogram in higher mz_6087; similar chromatogram in higher mz_11497; similar chromatogram in higher mz_12499	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.13	std_e1	69.14039:3063 70.14374:0 71.1471:0		11652	-2	-2	-2
23	1.863	69.14094	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3	std_e1	69.14094:2225 70.14429:0 71.14765:0		2856	-2	-2	-2
24	1.323	69.15587	Unknown	[M-H]-		0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.14	std_e1	69.15587:6619 70.15922:0 71.16258:0		1759	836	-2	-2
25	4.661	69.1633	Unknown	[M-H]-		0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.92	std_e1	69.1633:2606 70.16665:0 71.17001:0		7642	3382	-2	-2
26	1.552	69.17006	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.48	std_e1	69.17006:3323 70.17341:0 71.17677:0		2052	-2	-2	-2
27	2.061	69.17619	Unknown	[M-H]-	similar chromatogram in higher mz_12652; similar chromatogram in higher mz_7283; similar chromatogram in higher mz_12629; similar chromatogram in higher mz_12574; similar chromatogram in higher mz_3694; similar chromatogram in higher mz_10226; similar chromatogram in higher mz_7278; similar chromatogram in higher mz_12176; similar chromatogram in higher mz_7131; similar chromatogram in higher mz_9379; similar chromatogram in higher mz_3742; similar chromatogram in higher mz_7579; similar chromatogram in higher mz_2271; similar chromatogram in higher mz_3920; similar chromatogram in higher mz_8094; similar chromatogram in higher mz_9146; similar chromatogram in higher mz_12692; similar chromatogram in higher mz_2204; similar chromatogram in higher mz_2766; similar chromatogram in higher mz_2344; similar chromatogram in higher mz_11556	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.8	std_e1	69.17619:2820 70.17954:0 71.1829:0		3245	-2	-2	-2
28	4.11	69.18383	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.99	std_e1	69.18383:5188 70.18718:0 71.19054:0		6873	-2	-2	-2
29	1.215	69.18465	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	17.13	std_e1	69.18465:11707 70.188:0 71.19136:0		1260	-2	-2	-2
30	1.551	69.18512	Unknown	[M-H]-		0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.59	std_e1	69.18512:4066 70.18847:0 71.19183:0		2470	1124	-2	-2
31	6.543	69.19215	Unknown	[M-H]-	similar chromatogram in higher mz_8387; similar chromatogram in higher mz_8374; similar chromatogram in higher mz_7279; similar chromatogram in higher mz_8987; similar chromatogram in higher mz_5795; similar chromatogram in higher mz_9017; similar chromatogram in higher mz_7418; similar chromatogram in higher mz_9342; similar chromatogram in higher mz_11825; similar chromatogram in higher mz_3334; similar chromatogram in higher mz_6451; similar chromatogram in higher mz_3587; similar chromatogram in higher mz_4485; similar chromatogram in higher mz_6492; similar chromatogram in higher mz_7149; similar chromatogram in higher mz_8188; similar chromatogram in higher mz_8951; similar chromatogram in higher mz_11525	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1.75	std_e1	69.19215:1303 70.1955:0 71.19886:0		10733	-2	-2	-2
32	4.327	69.1985	Unknown	[M-H]-	similar chromatogram in higher mz_4442; similar chromatogram in higher mz_9464; similar chromatogram in higher mz_11943; similar chromatogram in higher mz_10012; similar chromatogram in higher mz_10105; similar chromatogram in higher mz_10733; similar chromatogram in higher mz_10147; similar chromatogram in higher mz_804; similar chromatogram in higher mz_6842; similar chromatogram in higher mz_1609; similar chromatogram in higher mz_349; similar chromatogram in higher mz_664; similar chromatogram in higher mz_1251; similar chromatogram in higher mz_1797; similar chromatogram in higher mz_2143; similar chromatogram in higher mz_2468; similar chromatogram in higher mz_4016; similar chromatogram in higher mz_5930	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.05	std_e1	69.1985:2265 70.20185:0 71.20521:0		7255	-2	-2	-2
33	4.507	69.20532	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.62	std_e1	69.20532:2689 70.20867:0 71.21203:0		7588	-2	-2	-2
34	1.064	69.20888	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.45	std_e1	69.20888:4044 70.21223:0 71.21559:0		728	-2	-2	-2
35	2.657	69.22608	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.41	std_e1	69.22608:3018 70.22943:0 71.23279:0		4614	-2	-2	-2
36	1.992	69.22868	Unknown	[M-H]-	similar chromatogram in higher mz_9153; similar chromatogram in higher mz_12856; similar chromatogram in higher mz_11699; similar chromatogram in higher mz_2060; similar chromatogram in higher mz_4561; similar chromatogram in higher mz_629; similar chromatogram in higher mz_48; similar chromatogram in higher mz_4742; similar chromatogram in higher mz_2935; similar chromatogram in higher mz_1665; similar chromatogram in higher mz_3332; similar chromatogram in higher mz_3195; similar chromatogram in higher mz_4258; similar chromatogram in higher mz_1425; similar chromatogram in higher mz_564; similar chromatogram in higher mz_3673	0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.43	std_e1	69.22868:2482 70.23203:0 71.23539:0		2882	1981	-2	-2
37	5.99	69.23291	Unknown	[M-H]-		0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.03	std_e1	69.23291:3197 70.23626:0 71.23962:0		7759	4275	-2	-2
38	1.233	69.2392	Unknown	[M-H]-	similar chromatogram in higher mz_4412; similar chromatogram in higher mz_7483; similar chromatogram in higher mz_5906; similar chromatogram in higher mz_5920; similar chromatogram in higher mz_12935; similar chromatogram in higher mz_5828; similar chromatogram in higher mz_2890; similar chromatogram in higher mz_6125; similar chromatogram in higher mz_12171; similar chromatogram in higher mz_4564; similar chromatogram in higher mz_4307; similar chromatogram in higher mz_4118; similar chromatogram in higher mz_4804; similar chromatogram in higher mz_3551; similar chromatogram in higher mz_2501; similar chromatogram in higher mz_2391; similar chromatogram in higher mz_3617; similar chromatogram in higher mz_3204; similar chromatogram in higher mz_374; similar chromatogram in higher mz_1890; similar chromatogram in higher mz_3312	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.01	std_e1	69.2392:4834 70.24255:0 71.24591:0		1305	-2	-2	-2
39	4.223	69.24508	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.65	std_e1	69.24508:3740 70.24843:0 71.25179:0		7112	-2	-2	-2
40	4.978	69.24774	Unknown	[M-H]-	similar chromatogram in higher mz_12008; similar chromatogram in higher mz_10476; similar chromatogram in higher mz_6380; similar chromatogram in higher mz_8209; similar chromatogram in higher mz_415; similar chromatogram in higher mz_5647; similar chromatogram in higher mz_9344; similar chromatogram in higher mz_9910; similar chromatogram in higher mz_10992; similar chromatogram in higher mz_145; similar chromatogram in higher mz_1001; similar chromatogram in higher mz_1452; similar chromatogram in higher mz_3160; similar chromatogram in higher mz_4218; similar chromatogram in higher mz_9492; similar chromatogram in higher mz_9495; similar chromatogram in higher mz_9665; similar chromatogram in higher mz_11131; similar chromatogram in higher mz_11137; similar chromatogram in higher mz_11559; similar chromatogram in higher mz_11751; similar chromatogram in higher mz_12911	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.33	std_e1	69.24774:2960 70.25109:0 71.25445:0		8381	-2	-2	-2
41	3.409	69.25183	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.88	std_e1	69.25183:2654 70.25518:0 71.25854:0		5672	-2	-2	-2
42	5.697	69.25716	Unknown	[M-H]-		0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.78	std_e1	69.25716:5230 70.26051:0 71.26387:0		6712	4237	-2	-2
43	4.535	69.28587	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.75	std_e1	69.28587:4708 70.28922:0 71.29258:0		7643	-2	-2	-2
44	2.09	69.29149	Unknown	[M-H]-	similar chromatogram in higher mz_11885; similar chromatogram in higher mz_4437; similar chromatogram in higher mz_11255; similar chromatogram in higher mz_11162; similar chromatogram in higher mz_7714; similar chromatogram in higher mz_12179; similar chromatogram in higher mz_9888; similar chromatogram in higher mz_4036; similar chromatogram in higher mz_12318; similar chromatogram in higher mz_9345; similar chromatogram in higher mz_11089; similar chromatogram in higher mz_3429; similar chromatogram in higher mz_10360; similar chromatogram in higher mz_4276; similar chromatogram in higher mz_8492; similar chromatogram in higher mz_3225; similar chromatogram in higher mz_4300; similar chromatogram in higher mz_10249; similar chromatogram in higher mz_1596; similar chromatogram in higher mz_1578; similar chromatogram in higher mz_2282; similar chromatogram in higher mz_1608; similar chromatogram in higher mz_2119; similar chromatogram in higher mz_9293; similar chromatogram in higher mz_10423; similar chromatogram in higher mz_11403; similar chromatogram in higher mz_12751	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.39	std_e1	69.29149:2721 70.29484:25823 71.2982:0		3318	-2	-2	-2
45	3.372	69.30331	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.44	std_e1	69.30331:2413 70.30666:0 71.31002:0		5627	-2	-2	-2
46	0.97	69.30372	Unknown	[M-H]-	similar chromatogram in higher mz_5271; similar chromatogram in higher mz_7525; similar chromatogram in higher mz_8048; similar chromatogram in higher mz_4855; similar chromatogram in higher mz_8044; similar chromatogram in higher mz_5812; similar chromatogram in higher mz_1314; similar chromatogram in higher mz_8253; similar chromatogram in higher mz_10534; similar chromatogram in higher mz_5809; similar chromatogram in higher mz_7688; similar chromatogram in higher mz_7549; similar chromatogram in higher mz_7589; similar chromatogram in higher mz_7547; similar chromatogram in higher mz_7505; similar chromatogram in higher mz_7645; similar chromatogram in higher mz_3133; similar chromatogram in higher mz_7510; similar chromatogram in higher mz_4277; similar chromatogram in higher mz_5291; similar chromatogram in higher mz_1116; similar chromatogram in higher mz_4658; similar chromatogram in higher mz_3634; similar chromatogram in higher mz_7578; similar chromatogram in higher mz_7474; similar chromatogram in higher mz_7543; similar chromatogram in higher mz_7553; similar chromatogram in higher mz_4257; similar chromatogram in higher mz_615; similar chromatogram in higher mz_4959; similar chromatogram in higher mz_7617; similar chromatogram in higher mz_7539; similar chromatogram in higher mz_7540; similar chromatogram in higher mz_3419; similar chromatogram in higher mz_7469; similar chromatogram in higher mz_7494; similar chromatogram in higher mz_7577; similar chromatogram in higher mz_3309; similar chromatogram in higher mz_2243; similar chromatogram in higher mz_4998; similar chromatogram in higher mz_3565; similar chromatogram in higher mz_72; similar chromatogram in higher mz_94; similar chromatogram in higher mz_215; similar chromatogram in higher mz_1460; similar chromatogram in higher mz_1666; similar chromatogram in higher mz_1713; similar chromatogram in higher mz_2207; similar chromatogram in higher mz_2562; similar chromatogram in higher mz_2893; similar chromatogram in higher mz_3158; similar chromatogram in higher mz_3538; similar chromatogram in higher mz_3544; similar chromatogram in higher mz_7408; similar chromatogram in higher mz_7412; similar chromatogram in higher mz_7421; similar chromatogram in higher mz_7430; similar chromatogram in higher mz_7432; similar chromatogram in higher mz_7433; similar chromatogram in higher mz_7437; similar chromatogram in higher mz_7442; similar chromatogram in higher mz_7444; similar chromatogram in higher mz_7472; similar chromatogram in higher mz_7498	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	12.58	std_e1	69.30372:10106 70.30707:0 71.31043:0		377	-2	-2	-2
47	4.971	69.30441	Unknown	[M-H]-		0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.28	std_e1	69.30441:2906 70.30776:0 71.31112:0		8750	-2	1298	-2
48	1.892	69.30715	Unknown	[M-H]-	similar chromatogram in higher mz_11272; similar chromatogram in higher mz_4736; similar chromatogram in higher mz_9959; similar chromatogram in higher mz_4711; similar chromatogram in higher mz_3263; similar chromatogram in higher mz_2760; similar chromatogram in higher mz_4355	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.53	std_e1	69.30715:2838 70.3105:0 71.31386:0		2899	-2	-2	-2
49	1.402	69.30907	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.43	std_e1	69.30907:6778 70.31242:0 71.31578:0		1706	-2	-2	-2
50	1.637	69.31076	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.19	std_e1	69.31076:6583 70.31411:0 71.31747:0		2236	-2	-2	-2
51	3.893	69.31223	Unknown	[M-H]-	similar chromatogram in higher mz_12806; similar chromatogram in higher mz_3316; similar chromatogram in higher mz_11793; similar chromatogram in higher mz_4822; similar chromatogram in higher mz_11433; similar chromatogram in higher mz_4683; similar chromatogram in higher mz_6192; similar chromatogram in higher mz_12535; similar chromatogram in higher mz_12967; similar chromatogram in higher mz_6783; similar chromatogram in higher mz_2104; similar chromatogram in higher mz_4175; similar chromatogram in higher mz_2038; similar chromatogram in higher mz_1562; similar chromatogram in higher mz_3579	0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.89	std_e1	69.31223:3438 70.31558:0 71.31894:0		7113	2783	-2	-2
52	5.007	69.32583	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.34	std_e1	69.32583:2317 70.32918:0 71.33254:0		8419	-2	-2	-2
53	5.506	69.33651	Unknown	[M-2H]2-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.51	std_e1	69.33651:6774 70.33986:0 71.34322:0		9471	-2	-2	-2
54	1.637	69.35265	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.99	std_e1	69.35265:6928 70.356:0 71.35936:0		2237	-2	-2	-2
55	14.711	69.36444	Unknown	[M-H]-	similar chromatogram in higher mz_13148; similar chromatogram in higher mz_11989; similar chromatogram in higher mz_7697; similar chromatogram in higher mz_11598; similar chromatogram in higher mz_9098; similar chromatogram in higher mz_8437; similar chromatogram in higher mz_12259; similar chromatogram in higher mz_1900; similar chromatogram in higher mz_3009	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1.43	std_e1	69.36444:1414 70.36779:0 71.37115:0		13970	-2	-2	-2
56	2.939	69.37733	Unknown	[M-H]-	similar chromatogram in higher mz_9890; similar chromatogram in higher mz_10317; similar chromatogram in higher mz_10657; similar chromatogram in higher mz_11450; similar chromatogram in higher mz_11998; similar chromatogram in higher mz_11177; similar chromatogram in higher mz_11138; similar chromatogram in higher mz_12379; similar chromatogram in higher mz_5487; similar chromatogram in higher mz_11475; similar chromatogram in higher mz_1972; similar chromatogram in higher mz_3803; similar chromatogram in higher mz_1984; similar chromatogram in higher mz_1758; similar chromatogram in higher mz_1744; similar chromatogram in higher mz_3345; similar chromatogram in higher mz_12184; similar chromatogram in higher mz_3647; similar chromatogram in higher mz_954; similar chromatogram in higher mz_12067; similar chromatogram in higher mz_4330; similar chromatogram in higher mz_477; similar chromatogram in higher mz_2146	0.5	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.25	std_e1	69.37733:4116 70.38068:0 71.38404:0		1487	-2	-2	806
57	4.045	69.38561	Unknown	[M-H]-	similar chromatogram in higher mz_6968; similar chromatogram in higher mz_11110; similar chromatogram in higher mz_11838; similar chromatogram in higher mz_5450; similar chromatogram in higher mz_4902; similar chromatogram in higher mz_4362; similar chromatogram in higher mz_4333; similar chromatogram in higher mz_4726; similar chromatogram in higher mz_5598; similar chromatogram in higher mz_5928; similar chromatogram in higher mz_6284; similar chromatogram in higher mz_3000; similar chromatogram in higher mz_3066; similar chromatogram in higher mz_3382; similar chromatogram in higher mz_6880	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.85	std_e1	69.38561:4802 70.38896:0 71.39232:0		6670	-2	-2	-2
58	3.542	69.38733	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.02	std_e1	69.38733:1998 70.39068:0 71.39404:0		5959	-2	-2	-2
